saMskfta-SabdarUpARi- viBaktiM vacanaM cASritya viBAgaH																										
puMliNgam - ekavacanam	a	i 	u	f	E	o	O	c	j	t	d	D	n	S	s	h	tfc	at	in	vat	mat	vas	Iyas	A	I	U
	rAma	hari	guru	pitf	rE	go	glO	payomuc	vaRij	marut	suhft	buD	Atman 	tAdfS	candramas	anaquh	kartf	Bavat	karin	Bagavat	DImat	vidvas	Sreyas	viSvapA	grAmaRI	svaBU
praTamAviBaktiH	rAmaH	hariH	guruH	pitA	rAH	gOH	glOH	payomuk	vaRik	marut	suhft	But	AtmA	tAdfk	candramAH	anaqvAn	kartA	BavAn	karI	BagavAn	DImAn	vidvAn	SreyAn	viSvapAH	grAmaRIH	svaBUH
dvitIyAviBaktiH	rAmam	harim	gurum	pitaram	rAyam	gAm	glAvam	payomucam	vaRijam	marutam	suhfdam	buDam	AtmAnam	tAdfSam	candramasam	anaqvAham	kartAram	Bavantam	kariRam	Bagavantam	DImantam	vidvAMsam	SreyAMsam	viSvapAm	grAmaRyam	svaBuvam
tftIyAviBaktiH	rAmeRa	hariRA	guruRA	pitrA	rAyA	gavA	glAvA	payomucA	vaRijA	marutA	suhfdA	buDA	AtmanA	tAdfSA	candramasA	anaquhA	kartrA	BavatA	kariRA	BagavatA	DImatA	viduzA	SreyasA	viSvapA	grAmaRyA	svaBuvA
caturTIviBaktiH	rAmAya	haraye	gurave	pitre	rAyE	gave	glAve	payomuce	vaRije	marute	suhfde	buDe	Atmane	tAdfSe	candramase	anaquhe	kartre	Bavate	kariRe	Bagavate	DImate	viduze	Sreyase	viSvape	grAmaRye	svaBuve
paYcamIviBaktiH	rAmAt	hareH	guroH	pituH	rAyaH	goH	glAvaH	payomucaH	vaRijaH	marutaH	suhfdaH	buDaH	AtmanaH	tAdfSaH	candramasaH	anaquhaH	kartuH	BavataH	kariRaH	BagavataH	DImataH	viduzaH	SreyasaH	viSvapaH	grAmaRyaH	svaBuvaH
zazWIviBaktiH	rAmasya	hareH	guroH	pituH	rAyaH	goH	glAvaH	payomucaH	vaRijaH	marutaH	suhfdaH	buDaH	AtmanaH	tAdfSaH	candramasaH	anaquhaH	kartuH	BavataH	kariRaH	BagavataH	DImataH	viduzaH	SreyasaH	viSvapaH	grAmaRyaH	svaBuvaH
saptamIviBaktiH	rAme	harO	gurO	pitari	rAyi	gavi	glAvi	payomuci	vaRiji	maruti	suhfdi	buDi	Atmani	tAdfSi	candramasi	anaquhi	kartari	Bavati	kariRi	Bagavati	DImati	viduzi	Sreyasi	viSvapi	grAmaRyAm	svaBuvi
samboDanapraTamAviBaktiH	rAma	hare	guro	pitaH	rAH	gOH	glOH	payomuk	vaRik	marut	suhft	But	Atman 	tAdfk	candramaH	anaquvan	kartaH	Bavan	karin	Bagavan	DIman	vidvan	Sreyan	viSvapAH	grAmaRIH	svaBUH
																										
puMliNgam - dvivacanam	a	i 	u	f	E	o	O	c	j	t	d	D	n	S	s	h	tfc	at	in	vat	mat	vas	Iyas	A	I	U
	rAma	hari	guru	pitf	rE	go	glO	payomuc	vaRij	marut	suhft	buD	Atman 	tAdfS	candramas	anaquh	kartf	Bavat	karin	Bagavat	DImat	vidvas	Sreyas	viSvapA	grAmaRI	svaBU
