प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
गुरु	नाम	पुं	पञ्चमी	एक	गुरोः
गुरु	नाम	पुं	पञ्चमी	द्वि	गुरुभ्याम्
गुरु	नाम	पुं	पञ्चमी	बहु	गुरुभ्यः
गुरु	नाम	पुं	षष्ठी	एक	गुरोः
गुरु	नाम	पुं	षष्ठी	द्वि	गुर्वोः
गुरु	नाम	पुं	षष्ठी	बहु	गुरूणाम्
गुरु	नाम	पुं	सप्तमी	एक	गुरौ
गुरु	नाम	पुं	सप्तमी	द्वि	गुर्वोः
गुरु	नाम	पुं	सप्तमी	बहु	गुरुषु
गुरु	नाम	पुं	सम्बोधन	एक	गुरो
गुरु	नाम	पुं	सम्बोधन	द्वि	हे गुरू
गुरु	नाम	पुं	सम्बोधन	बहु	गुरवः
पितृ	नाम	पुं	प्रथमा	एक	पिता
पितृ	नाम	पुं	प्रथमा	द्वि	पितरौ
पितृ	नाम	पुं	प्रथमा	बहु	पितरः
पितृ	नाम	पुं	द्वितीया	एक	पितरम्
पितृ	नाम	पुं	द्वितीया	द्वि	पितरौ
पितृ	नाम	पुं	द्वितीया	बहु	पितॄन्
पितृ	नाम	पुं	तृतीया	एक	पित्रा
पितृ	नाम	पुं	तृतीया	द्वि	पितृभ्याम्
पितृ	नाम	पुं	तृतीया	बहु	पितृभिः
पितृ	नाम	पुं	चतुर्थी	एक	पित्रे
पितृ	नाम	पुं	चतुर्थी	द्वि	पितराभ्याम्
पितृ	नाम	पुं	चतुर्थी	बहु	पितृभ्यः
पितृ	नाम	पुं	पञ्चमी	एक	पितुः
पितृ	नाम	पुं	पञ्चमी	द्वि	पितृभ्याम्
पितृ	नाम	पुं	पञ्चमी	बहु	पितृभ्यः
पितृ	नाम	पुं	षष्ठी	एक	पितुः
पितृ	नाम	पुं	षष्ठी	द्वि	पित्रोः
पितृ	नाम	पुं	षष्ठी	बहु	पितॄणाम्
पितृ	नाम	पुं	सप्तमी	एक	पितरि
पितृ	नाम	पुं	सप्तमी	द्वि	पित्रोः
पितृ	नाम	पुं	सप्तमी	बहु	पितृषु
पितृ	नाम	पुं	सम्बोधन	एक	पितः
पितृ	नाम	पुं	सम्बोधन	द्वि	पितरौ
पितृ	नाम	पुं	सम्बोधन	बहु	पितरः
रै	नाम	पुं	प्रथमा	एक	राः
रै	नाम	पुं	प्रथमा	द्वि	रायौ
रै	नाम	पुं	प्रथमा	बहु	रायः
रै	नाम	पुं	द्वितीया	एक	रायम्
रै	नाम	पुं	द्वितीया	द्वि	रायौ
रै	नाम	पुं	द्वितीया	बहु	रायः
रै	नाम	पुं	तृतीया	एक	राया
रै	नाम	पुं	तृतीया	द्वि	राभ्याम्
रै	नाम	पुं	तृतीया	बहु	राभिः
रै	नाम	पुं	चतुर्थी	एक	रायै
रै	नाम	पुं	चतुर्थी	द्वि	राभ्याम्
रै	नाम	पुं	चतुर्थी	बहु	राभ्यः
रै	नाम	पुं	पञ्चमी	एक	रायः
रै	नाम	पुं	पञ्चमी	द्वि	राभ्याम्
रै	नाम	पुं	पञ्चमी	बहु	राभ्यः
रै	नाम	पुं	षष्ठी	एक	रायः
रै	नाम	पुं	षष्ठी	द्वि	रायोः
रै	नाम	पुं	षष्ठी	बहु	रायाम्
रै	नाम	पुं	सप्तमी	एक	रायि
रै	नाम	पुं	सप्तमी	द्वि	रायोः
रै	नाम	पुं	सप्तमी	बहु	रासु
रै	नाम	पुं	सम्बोधन	एक	राः
रै	नाम	पुं	सम्बोधन	द्वि	रायौ
रै	नाम	पुं	सम्बोधन	बहु	रायः
गो	नाम	पुं	प्रथमा	एक	गौः
गो	नाम	पुं	प्रथमा	द्वि	गावौ
गो	नाम	पुं	प्रथमा	बहु	गावः
गो	नाम	पुं	द्वितीया	एक	गाम्
गो	नाम	पुं	द्वितीया	द्वि	गावौ
गो	नाम	पुं	द्वितीया	बहु	गाः
गो	नाम	पुं	तृतीया	एक	गवा
गो	नाम	पुं	तृतीया	द्वि	गोभ्याम्
गो	नाम	पुं	तृतीया	बहु	गोभिः
गो	नाम	पुं	चतुर्थी	एक	गवे
गो	नाम	पुं	चतुर्थी	द्वि	गोभ्याम्
गो	नाम	पुं	चतुर्थी	बहु	गोभ्यः
गो	नाम	पुं	पञ्चमी	एक	गोः
गो	नाम	पुं	पञ्चमी	द्वि	गोभ्याम्
गो	नाम	पुं	पञ्चमी	बहु	गोभ्यः
गो	नाम	पुं	षष्ठी	एक	गोः
गो	नाम	पुं	षष्ठी	द्वि	गवोः
गो	नाम	पुं	षष्ठी	बहु	गवाम्
गो	नाम	पुं	सप्तमी	एक	गवि
गो	नाम	पुं	सप्तमी	द्वि	गवोः
गो	नाम	पुं	सप्तमी	बहु	गोषु
गो	नाम	पुं	सम्बोधन	एक	गौः
गो	नाम	पुं	सम्बोधन	द्वि	गावौ
गो	नाम	पुं	सम्बोधन	बहु	गावः
ग्लौ	नाम	पुं	प्रथमा	एक	ग्लौः
ग्लौ	नाम	पुं	प्रथमा	द्वि	ग्लावौ
ग्लौ	नाम	पुं	प्रथमा	बहु	ग्लावः
ग्लौ	नाम	पुं	द्वितीया	एक	ग्लावम्
ग्लौ	नाम	पुं	द्वितीया	द्वि	ग्लावौ
ग्लौ	नाम	पुं	द्वितीया	बहु	ग्लावः
ग्लौ	नाम	पुं	तृतीया	एक	ग्लावा
ग्लौ	नाम	पुं	तृतीया	द्वि	ग्लौभ्याम्
ग्लौ	नाम	पुं	तृतीया	बहु	ग्लौभिः
ग्लौ	नाम	पुं	चतुर्थी	एक	ग्लावे
ग्लौ	नाम	पुं	चतुर्थी	द्वि	ग्लौभ्याम्
ग्लौ	नाम	पुं	चतुर्थी	बहु	ग्लौभ्यः
ग्लौ	नाम	पुं	पञ्चमी	एक	ग्लावः
ग्लौ	नाम	पुं	पञ्चमी	द्वि	ग्लौभ्याम्
ग्लौ	नाम	पुं	पञ्चमी	बहु	ग्लौभ्यः
ग्लौ	नाम	पुं	षष्ठी	एक	ग्लावः
ग्लौ	नाम	पुं	षष्ठी	द्वि	ग्लावोः
ग्लौ	नाम	पुं	षष्ठी	बहु	ग्लावाम्
ग्लौ	नाम	पुं	सप्तमी	एक	ग्लावि
ग्लौ	नाम	पुं	सप्तमी	द्वि	ग्लावोः
ग्लौ	नाम	पुं	सप्तमी	बहु	ग्लौषु
ग्लौ	नाम	पुं	सम्बोधन	एक	ग्लौः
ग्लौ	नाम	पुं	सम्बोधन	द्वि	ग्लावौ
ग्लौ	नाम	पुं	सम्बोधन	बहु	ग्लावः
पयोमुच्	नाम	पुं	प्रथमा	एक	पयोमुक्
पयोमुच्	नाम	पुं	प्रथमा	द्वि	पयोमुचौ
पयोमुच्	नाम	पुं	प्रथमा	बहु	पयोमुचः
पयोमुच्	नाम	पुं	द्वितीया	एक	पयोमुचम्
पयोमुच्	नाम	पुं	द्वितीया	द्वि	पयोमुचौ
पयोमुच्	नाम	पुं	द्वितीया	बहु	पयोमुचः
पयोमुच्	नाम	पुं	तृतीया	एक	पयोमुचा
पयोमुच्	नाम	पुं	तृतीया	द्वि	पयोमुग्भ्याम्
पयोमुच्	नाम	पुं	तृतीया	बहु	पयोमुग्भिः
पयोमुच्	नाम	पुं	चतुर्थी	एक	पयोमुचे
पयोमुच्	नाम	पुं	चतुर्थी	द्वि	पयोमुग्भ्याम्
पयोमुच्	नाम	पुं	चतुर्थी	बहु	पयोमुग्भ्यः
पयोमुच्	नाम	पुं	पञ्चमी	एक	पयोमुचः
पयोमुच्	नाम	पुं	पञ्चमी	द्वि	पयोमुग्भ्याम्
पयोमुच्	नाम	पुं	पञ्चमी	बहु	पयोमुग्भ्यः
पयोमुच्	नाम	पुं	षष्ठी	एक	पयोमुचः
पयोमुच्	नाम	पुं	षष्ठी	द्वि	पयोमुचोः
पयोमुच्	नाम	पुं	षष्ठी	बहु	पयोमुचाम्
पयोमुच्	नाम	पुं	सप्तमी	एक	पयोमुचि
पयोमुच्	नाम	पुं	सप्तमी	द्वि	पयोमुचोः
पयोमुच्	नाम	पुं	सप्तमी	बहु	पयोमुक्षु
पयोमुच्	नाम	पुं	सम्बोधन	एक	पयोमुक्
पयोमुच्	नाम	पुं	सम्बोधन	द्वि	पयौमुचौ
पयोमुच्	नाम	पुं	सम्बोधन	बहु	पयोमुचः
वणिज्	नाम	पुं	प्रथमा	एक	वणिक्
वणिज्	नाम	पुं	प्रथमा	द्वि	वणिजौ
वणिज्	नाम	पुं	प्रथमा	बहु	वणिजः
वणिज्	नाम	पुं	द्वितीया	एक	वणिजम्
वणिज्	नाम	पुं	द्वितीया	द्वि	वणिजौ
वणिज्	नाम	पुं	द्वितीया	बहु	वणिजः
वणिज्	नाम	पुं	तृतीया	एक	वणिजा
वणिज्	नाम	पुं	तृतीया	द्वि	वणिग्भ्याम्
वणिज्	नाम	पुं	तृतीया	बहु	वणिग्भिः
वणिज्	नाम	पुं	चतुर्थी	एक	वणिजे
वणिज्	नाम	पुं	चतुर्थी	द्वि	वणिग्भ्याम्
वणिज्	नाम	पुं	चतुर्थी	बहु	वणिग्भ्यः
वणिज्	नाम	पुं	पञ्चमी	एक	वणिजः
वणिज्	नाम	पुं	पञ्चमी	द्वि	वणिग्भ्याम्
वणिज्	नाम	पुं	पञ्चमी	बहु	वणिग्भ्यः
वणिज्	नाम	पुं	षष्ठी	एक	वणिजः
वणिज्	नाम	पुं	षष्ठी	द्वि	वणिजोः
वणिज्	नाम	पुं	षष्ठी	बहु	वणिजाम्
वणिज्	नाम	पुं	सप्तमी	एक	वणिजि
वणिज्	नाम	पुं	सप्तमी	द्वि	वणिजोः
वणिज्	नाम	पुं	सप्तमी	बहु	वणिक्षु
वणिज्	नाम	पुं	सम्बोधन	एक	वणिक्
वणिज्	नाम	पुं	सम्बोधन	द्वि	वणिजौ
वणिज्	नाम	पुं	सम्बोधन	बहु	वणिजः
मरुत्	नाम	पुं	प्रथमा	एक	मरुत्
मरुत्	नाम	पुं	प्रथमा	द्वि	मरुतौ
मरुत्	नाम	पुं	प्रथमा	बहु	मरुतः
मरुत्	नाम	पुं	द्वितीया	एक	मरुतम्
मरुत्	नाम	पुं	द्वितीया	द्वि	मरुतौ
मरुत्	नाम	पुं	द्वितीया	बहु	मरुतः
मरुत्	नाम	पुं	तृतीया	एक	मरुता
मरुत्	नाम	पुं	तृतीया	द्वि	मरुद्भ्याम्
मरुत्	नाम	पुं	तृतीया	बहु	मरुद्भिः
मरुत्	नाम	पुं	चतुर्थी	एक	मरुते
मरुत्	नाम	पुं	चतुर्थी	द्वि	मरुद्भ्याम्
मरुत्	नाम	पुं	चतुर्थी	बहु	मरुद्भ्यः
मरुत्	नाम	पुं	पञ्चमी	एक	मरुतः
मरुत्	नाम	पुं	पञ्चमी	द्वि	मरुद्भ्याम्
मरुत्	नाम	पुं	पञ्चमी	बहु	मरुद्भ्यः
मरुत्	नाम	पुं	षष्ठी	एक	मरुतः
मरुत्	नाम	पुं	षष्ठी	द्वि	मरुतोः
मरुत्	नाम	पुं	षष्ठी	बहु	मरुताम्
मरुत्	नाम	पुं	सप्तमी	एक	मरुति
मरुत्	नाम	पुं	सप्तमी	द्वि	मरुतोः
मरुत्	नाम	पुं	सप्तमी	बहु	मरुत्सु
मरुत्	नाम	पुं	सम्बोधन	एक	मरुत्
मरुत्	नाम	पुं	सम्बोधन	द्वि	मरुतौ
मरुत्	नाम	पुं	सम्बोधन	बहु	मरुतः
सुहृत्	नाम	पुं	प्रथमा	एक	सुहृत्
सुहृत्	नाम	पुं	प्रथमा	द्वि	सुहृदौ
सुहृत्	नाम	पुं	प्रथमा	बहु	सुहृदः
सुहृत्	नाम	पुं	द्वितीया	एक	सुहृदम्
सुहृत्	नाम	पुं	द्वितीया	द्वि	सुहृदौ
सुहृत्	नाम	पुं	द्वितीया	बहु	सुहृदः
सुहृत्	नाम	पुं	तृतीया	एक	सुहृदा
सुहृत्	नाम	पुं	तृतीया	द्वि	सुहृद्भ्याम्
सुहृत्	नाम	पुं	तृतीया	बहु	सुहृद्भिः
सुहृत्	नाम	पुं	चतुर्थी	एक	सुहृदे
सुहृत्	नाम	पुं	चतुर्थी	द्वि	सुहृद्भ्याम्
सुहृत्	नाम	पुं	चतुर्थी	बहु	सुहृद्भ्यः
सुहृत्	नाम	पुं	पञ्चमी	एक	सुहृदः
सुहृत्	नाम	पुं	पञ्चमी	द्वि	सुहृद्भ्याम्
सुहृत्	नाम	पुं	पञ्चमी	बहु	सुहृद्भ्यः
सुहृत्	नाम	पुं	षष्ठी	एक	सुहृदः
सुहृत्	नाम	पुं	षष्ठी	द्वि	सुहृदोः
सुहृत्	नाम	पुं	षष्ठी	बहु	सुहृदाम्
सुहृत्	नाम	पुं	सप्तमी	एक	सुहृदि
सुहृत्	नाम	पुं	सप्तमी	द्वि	सुहृदोः
सुहृत्	नाम	पुं	सप्तमी	बहु	सुहृत्सु
सुहृत्	नाम	पुं	सम्बोधन	एक	सुहृत्
सुहृत्	नाम	पुं	सम्बोधन	द्वि	सुहृदौ
सुहृत्	नाम	पुं	सम्बोधन	बहु	सुहृदः
बुध्	नाम	पुं	प्रथमा	एक	भुत्
बुध्	नाम	पुं	प्रथमा	द्वि	बुधौ
बुध्	नाम	पुं	प्रथमा	बहु	बुधः
बुध्	नाम	पुं	द्वितीया	एक	बुधम्
बुध्	नाम	पुं	द्वितीया	द्वि	बुधौ
बुध्	नाम	पुं	द्वितीया	बहु	बुधः
बुध्	नाम	पुं	तृतीया	एक	बुधा
बुध्	नाम	पुं	तृतीया	द्वि	भुद्भ्याम्
बुध्	नाम	पुं	तृतीया	बहु	भुद्भिः
बुध्	नाम	पुं	चतुर्थी	एक	बुधे
बुध्	नाम	पुं	चतुर्थी	द्वि	भुद्भ्याम्
बुध्	नाम	पुं	चतुर्थी	बहु	भुद्भ्यः
बुध्	नाम	पुं	पञ्चमी	एक	बुधः
बुध्	नाम	पुं	पञ्चमी	द्वि	भुद्भ्याम्
बुध्	नाम	पुं	पञ्चमी	बहु	भुद्भ्यः
बुध्	नाम	पुं	षष्ठी	एक	बुधः
बुध्	नाम	पुं	षष्ठी	द्वि	बुधोः
बुध्	नाम	पुं	षष्ठी	बहु	बुधाम्
बुध्	नाम	पुं	सप्तमी	एक	बुधि
बुध्	नाम	पुं	सप्तमी	द्वि	बुधोः
बुध्	नाम	पुं	सप्तमी	बहु	भुत्सु
बुध्	नाम	पुं	सम्बोधन	एक	भुत्
बुध्	नाम	पुं	सम्बोधन	द्वि	बुधौ
बुध्	नाम	पुं	सम्बोधन	बहु	बुधः
आत्मन् 	नाम	पुं	प्रथमा	एक	आत्मा
आत्मन् 	नाम	पुं	प्रथमा	द्वि	आत्मानौ
आत्मन् 	नाम	पुं	प्रथमा	बहु	आत्मानः
आत्मन् 	नाम	पुं	द्वितीया	एक	आत्मानम्
आत्मन् 	नाम	पुं	द्वितीया	द्वि	आत्मानौ
आत्मन् 	नाम	पुं	द्वितीया	बहु	आत्मनः
आत्मन् 	नाम	पुं	तृतीया	एक	आत्मना
आत्मन् 	नाम	पुं	तृतीया	द्वि	आत्मभ्याम्
आत्मन् 	नाम	पुं	तृतीया	बहु	आत्मभिः
आत्मन् 	नाम	पुं	चतुर्थी	एक	आत्मने
आत्मन् 	नाम	पुं	चतुर्थी	द्वि	आत्मभ्याम्
आत्मन् 	नाम	पुं	चतुर्थी	बहु	आत्मभ्यः
आत्मन् 	नाम	पुं	पञ्चमी	एक	आत्मनः
आत्मन् 	नाम	पुं	पञ्चमी	द्वि	आत्मभ्याम्
आत्मन् 	नाम	पुं	पञ्चमी	बहु	आत्मभ्यः
आत्मन् 	नाम	पुं	षष्ठी	एक	आत्मनः
आत्मन् 	नाम	पुं	षष्ठी	द्वि	आत्मनोः
आत्मन् 	नाम	पुं	षष्ठी	बहु	आत्मनाम्
आत्मन् 	नाम	पुं	सप्तमी	एक	आत्मनि
आत्मन् 	नाम	पुं	सप्तमी	द्वि	आत्मनोः
आत्मन् 	नाम	पुं	सप्तमी	बहु	आत्मसु
आत्मन् 	नाम	पुं	सम्बोधन	एक	आत्मन्
आत्मन् 	नाम	पुं	सम्बोधन	द्वि	हे आत्मानौ
आत्मन् 	नाम	पुं	सम्बोधन	बहु	आत्मानः
तादृश्	नाम	पुं	प्रथमा	एक	तादृक्
तादृश्	नाम	पुं	प्रथमा	द्वि	तादृशौ
तादृश्	नाम	पुं	प्रथमा	बहु	तादृशः
तादृश्	नाम	पुं	द्वितीया	एक	तादृशम्
तादृश्	नाम	पुं	द्वितीया	द्वि	तादृशौ
तादृश्	नाम	पुं	द्वितीया	बहु	तादृशः
तादृश्	नाम	पुं	तृतीया	एक	तादृशा
तादृश्	नाम	पुं	तृतीया	द्वि	तादृग्भ्याम्
तादृश्	नाम	पुं	तृतीया	बहु	तादृग्भिः
तादृश्	नाम	पुं	चतुर्थी	एक	तादृशे
तादृश्	नाम	पुं	चतुर्थी	द्वि	तादृग्भ्याम्
तादृश्	नाम	पुं	चतुर्थी	बहु	तादृग्भ्यः
तादृश्	नाम	पुं	पञ्चमी	एक	तादृशः
तादृश्	नाम	पुं	पञ्चमी	द्वि	तादृग्भ्याम्
तादृश्	नाम	पुं	पञ्चमी	बहु	तादृग्भ्यः
तादृश्	नाम	पुं	षष्ठी	एक	तादृशः
तादृश्	नाम	पुं	षष्ठी	द्वि	तादृशोः
तादृश्	नाम	पुं	षष्ठी	बहु	तादृशाम्
तादृश्	नाम	पुं	सप्तमी	एक	तादृशि
तादृश्	नाम	पुं	सप्तमी	द्वि	तादृशोः
तादृश्	नाम	पुं	सप्तमी	बहु	तादृशु
तादृश्	नाम	पुं	सम्बोधन	एक	तादृक्
तादृश्	नाम	पुं	सम्बोधन	द्वि	तादृशौ
तादृश्	नाम	पुं	सम्बोधन	बहु	तादृशः
चन्द्रमस्	नाम	पुं	प्रथमा	एक	चन्द्रमाः
चन्द्रमस्	नाम	पुं	प्रथमा	द्वि	चन्द्रमसौ
चन्द्रमस्	नाम	पुं	प्रथमा	बहु	चन्द्रमसः
चन्द्रमस्	नाम	पुं	द्वितीया	एक	चन्द्रमसम्
चन्द्रमस्	नाम	पुं	द्वितीया	द्वि	चन्द्रमसौ
चन्द्रमस्	नाम	पुं	द्वितीया	बहु	चन्द्रमसः
चन्द्रमस्	नाम	पुं	तृतीया	एक	चन्द्रमसा
चन्द्रमस्	नाम	पुं	तृतीया	द्वि	चन्द्रमोभ्याम्
चन्द्रमस्	नाम	पुं	तृतीया	बहु	चन्द्रमोभिः
चन्द्रमस्	नाम	पुं	चतुर्थी	एक	चन्द्रमसे
चन्द्रमस्	नाम	पुं	चतुर्थी	द्वि	चन्द्रमोभ्याम्
चन्द्रमस्	नाम	पुं	चतुर्थी	बहु	चन्द्रमोभ्यः
चन्द्रमस्	नाम	पुं	पञ्चमी	एक	चन्द्रमसः
चन्द्रमस्	नाम	पुं	पञ्चमी	द्वि	चन्द्रमोभ्याम्
चन्द्रमस्	नाम	पुं	पञ्चमी	बहु	चन्द्रमोभ्यः
चन्द्रमस्	नाम	पुं	षष्ठी	एक	चन्द्रमसः
चन्द्रमस्	नाम	पुं	षष्ठी	द्वि	चन्द्रमसोः
चन्द्रमस्	नाम	पुं	षष्ठी	बहु	चन्द्रमसाम्
चन्द्रमस्	नाम	पुं	सप्तमी	एक	चन्द्रमसि
चन्द्रमस्	नाम	पुं	सप्तमी	द्वि	चन्द्रमसोः
चन्द्रमस्	नाम	पुं	सप्तमी	बहु	चन्द्रमस्सु
चन्द्रमस्	नाम	पुं	सम्बोधन	एक	चन्द्रमः
चन्द्रमस्	नाम	पुं	सम्बोधन	द्वि	हे चन्द्रमसौ
चन्द्रमस्	नाम	पुं	सम्बोधन	बहु	चन्द्रमसः
अनडुह्	नाम	पुं	प्रथमा	एक	अनड्वान्
अनडुह्	नाम	पुं	प्रथमा	द्वि	अनड्वाहौ
अनडुह्	नाम	पुं	प्रथमा	बहु	अनड्वाहः
अनडुह्	नाम	पुं	द्वितीया	एक	अनड्वाहम्
अनडुह्	नाम	पुं	द्वितीया	द्वि	अनड्वाहौ
अनडुह्	नाम	पुं	द्वितीया	बहु	अनडुहः
अनडुह्	नाम	पुं	तृतीया	एक	अनडुहा
अनडुह्	नाम	पुं	तृतीया	द्वि	अनडुद्भ्याम्
अनडुह्	नाम	पुं	तृतीया	बहु	अनडुद्भिः
अनडुह्	नाम	पुं	चतुर्थी	एक	अनडुहे
अनडुह्	नाम	पुं	चतुर्थी	द्वि	अनडुद्भ्याम्
अनडुह्	नाम	पुं	चतुर्थी	बहु	अनडुद्भ्यः
अनडुह्	नाम	पुं	पञ्चमी	एक	अनडुहः
अनडुह्	नाम	पुं	पञ्चमी	द्वि	अनडुद्भ्याम्
अनडुह्	नाम	पुं	पञ्चमी	बहु	अनडुद्भ्यः
अनडुह्	नाम	पुं	षष्ठी	एक	अनडुहः
अनडुह्	नाम	पुं	षष्ठी	द्वि	अनडुहोः
अनडुह्	नाम	पुं	षष्ठी	बहु	अनडुहाम्
अनडुह्	नाम	पुं	सप्तमी	एक	अनडुहि
अनडुह्	नाम	पुं	सप्तमी	द्वि	अनडुहोः
अनडुह्	नाम	पुं	सप्तमी	बहु	अनडुत्सु
अनडुह्	नाम	पुं	सम्बोधन	एक	अनडुवन्
अनडुह्	नाम	पुं	सम्बोधन	द्वि	अनड्वाहौ
अनडुह्	नाम	पुं	सम्बोधन	बहु	अनड्वाहः
कर्तृ	नाम	पुं	प्रथमा	एक	कर्ता
कर्तृ	नाम	पुं	प्रथमा	द्वि	कर्तारौ
कर्तृ	नाम	पुं	प्रथमा	बहु	कर्तारः
कर्तृ	नाम	पुं	द्वितीया	एक	कर्तारम्
कर्तृ	नाम	पुं	द्वितीया	द्वि	कर्तारौ
कर्तृ	नाम	पुं	द्वितीया	बहु	कर्तॄन्
कर्तृ	नाम	पुं	तृतीया	एक	कर्त्रा
कर्तृ	नाम	पुं	तृतीया	द्वि	कर्तृभ्याम्
कर्तृ	नाम	पुं	तृतीया	बहु	कर्तृभिः
कर्तृ	नाम	पुं	चतुर्थी	एक	कर्त्रे
कर्तृ	नाम	पुं	चतुर्थी	द्वि	कर्तृभ्याम्
कर्तृ	नाम	पुं	चतुर्थी	बहु	कर्तृभ्यः
कर्तृ	नाम	पुं	पञ्चमी	एक	कर्तुः
कर्तृ	नाम	पुं	पञ्चमी	द्वि	कर्तृभ्याम्
कर्तृ	नाम	पुं	पञ्चमी	बहु	कर्तृभ्यः
कर्तृ	नाम	पुं	षष्ठी	एक	कर्तुः
कर्तृ	नाम	पुं	षष्ठी	द्वि	कर्त्रोः
कर्तृ	नाम	पुं	षष्ठी	बहु	कतॄणाम्
कर्तृ	नाम	पुं	सप्तमी	एक	कर्तरि
कर्तृ	नाम	पुं	सप्तमी	द्वि	कर्त्रोः
कर्तृ	नाम	पुं	सप्तमी	बहु	कर्तृषु
कर्तृ	नाम	पुं	सम्बोधन	एक	कर्तः
कर्तृ	नाम	पुं	सम्बोधन	द्वि	हे कर्तारौ
कर्तृ	नाम	पुं	सम्बोधन	बहु	कर्तारः
भवत्	नाम	पुं	प्रथमा	एक	भवान्
भवत्	नाम	पुं	प्रथमा	द्वि	भवन्तौ
भवत्	नाम	पुं	प्रथमा	बहु	भवन्तः
भवत्	नाम	पुं	द्वितीया	एक	भवन्तम्
भवत्	नाम	पुं	द्वितीया	द्वि	भवन्तौ
भवत्	नाम	पुं	द्वितीया	बहु	भवतः
भवत्	नाम	पुं	तृतीया	एक	भवता
भवत्	नाम	पुं	तृतीया	द्वि	भवद्भ्याम्
भवत्	नाम	पुं	तृतीया	बहु	भवद्भिः
भवत्	नाम	पुं	चतुर्थी	एक	भवते
भवत्	नाम	पुं	चतुर्थी	द्वि	भवद्भ्याम्
भवत्	नाम	पुं	चतुर्थी	बहु	भवद्भ्यः
भवत्	नाम	पुं	पञ्चमी	एक	भवतः
भवत्	नाम	पुं	पञ्चमी	द्वि	भवद्भ्याम्
भवत्	नाम	पुं	पञ्चमी	बहु	भवद्भ्यः
भवत्	नाम	पुं	षष्ठी	एक	भवतः
