प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
राम	नाम	पुं	प्रथमा	एक	रामः
राम	नाम	पुं	प्रथमा	द्वि	रामौ
राम	नाम	पुं	प्रथमा	बहु	रामाः
राम	नाम	पुं	द्वितीया	एक	रामम्
राम	नाम	पुं	द्वितीया	द्वि	रामौ
राम	नाम	पुं	द्वितीया	बहु	रामान्
राम	नाम	पुं	तृतीया	एक	रामेण
राम	नाम	पुं	तृतीया	द्वि	रामाभ्याम्
राम	नाम	पुं	तृतीया	बहु	रामैः
राम	नाम	पुं	चतुर्थी	एक	रामाय
राम	नाम	पुं	चतुर्थी	द्वि	रामाभ्याम्
राम	नाम	पुं	चतुर्थी	बहु	रामेभ्यः
राम	नाम	पुं	पञ्चमी	एक	रामात्
राम	नाम	पुं	पञ्चमी	द्वि	रामाभ्याम्
राम	नाम	पुं	पञ्चमी	बहु	रामेभ्यः
राम	नाम	पुं	षष्ठी	एक	रामस्य
राम	नाम	पुं	षष्ठी	द्वि	रामयोः
राम	नाम	पुं	षष्ठी	बहु	रामाणाम्
राम	नाम	पुं	सप्तमी	एक	रामे
राम	नाम	पुं	सप्तमी	द्वि	रामयोः
राम	नाम	पुं	सप्तमी	बहु	रामेषु
राम	नाम	पुं	सम्बोधन	एक	राम
राम	नाम	पुं	सम्बोधन	द्वि	हे रामौ
राम	नाम	पुं	सम्बोधन	बहु	रामाः
हरि	नाम	पुं	प्रथमा	एक	हरिः
हरि	नाम	पुं	प्रथमा	द्वि	हरी
हरि	नाम	पुं	प्रथमा	बहु	हरयः
हरि	नाम	पुं	द्वितीया	एक	हरिम्
हरि	नाम	पुं	द्वितीया	द्वि	हरी
हरि	नाम	पुं	द्वितीया	बहु	हरीन्
हरि	नाम	पुं	तृतीया	एक	हरिणा
हरि	नाम	पुं	तृतीया	द्वि	हरिभ्याम्
हरि	नाम	पुं	तृतीया	बहु	हरिभिः
हरि	नाम	पुं	चतुर्थी	एक	हरये
हरि	नाम	पुं	चतुर्थी	द्वि	हरिभ्याम्
हरि	नाम	पुं	चतुर्थी	बहु	हरिभ्यः
हरि	नाम	पुं	पञ्चमी	एक	हरेः
हरि	नाम	पुं	पञ्चमी	द्वि	हरिभ्याम्
हरि	नाम	पुं	पञ्चमी	बहु	हरिभ्यः
हरि	नाम	पुं	षष्ठी	एक	हरेः
हरि	नाम	पुं	षष्ठी	द्वि	हर्य्यौः
हरि	नाम	पुं	षष्ठी	बहु	हरीणाम्
हरि	नाम	पुं	सप्तमी	एक	हरौ
हरि	नाम	पुं	सप्तमी	द्वि	हर्य्यौः
हरि	नाम	पुं	सप्तमी	बहु	हरिषु
हरि	नाम	पुं	सम्बोधन	एक	हरे
हरि	नाम	पुं	सम्बोधन	द्वि	हे हरी
हरि	नाम	पुं	सम्बोधन	बहु	हरयः
गुरु	नाम	पुं	प्रथमा	एक	गुरुः
गुरु	नाम	पुं	प्रथमा	द्वि	गुरू
गुरु	नाम	पुं	प्रथमा	बहु	गुरवः
गुरु	नाम	पुं	द्वितीया	एक	गुरुम्
गुरु	नाम	पुं	द्वितीया	द्वि	गुरू
गुरु	नाम	पुं	द्वितीया	बहु	गुरून्
गुरु	नाम	पुं	तृतीया	एक	गुरुणा
गुरु	नाम	पुं	तृतीया	द्वि	गुरुभ्याम्
गुरु	नाम	पुं	तृतीया	बहु	गुरुभिः
गुरु	नाम	पुं	चतुर्थी	एक	गुरवे
गुरु	नाम	पुं	चतुर्थी	द्वि	गुरुभ्याम्
गुरु	नाम	पुं	चतुर्थी	बहु	गुरुभ्यः
