prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
viSva	sarvanAma	puM	zazWI	dvi	viSvayoH
viSva	sarvanAma	puM	zazWI	bahu	viSvezAm
viSva	sarvanAma	puM	saptamI	eka	viSvasmin
viSva	sarvanAma	puM	saptamI	dvi	viSvayoH
viSva	sarvanAma	puM	saptamI	bahu	viSvezu
viSva	sarvanAma	puM	samboDana	eka	
viSva	sarvanAma	puM	samboDana	dvi	
viSva	sarvanAma	puM	samboDana	bahu	
tad	sarvanAma	puM	praTamA	eka	saH
tad	sarvanAma	puM	praTamA	dvi	tO
tad	sarvanAma	puM	praTamA	bahu	te
tad	sarvanAma	puM	dvitIyA	eka	tam
tad	sarvanAma	puM	dvitIyA	dvi	tO
tad	sarvanAma	puM	dvitIyA	bahu	tAn
tad	sarvanAma	puM	tftIyA	eka	tena
tad	sarvanAma	puM	tftIyA	dvi	tAByAm
tad	sarvanAma	puM	tftIyA	bahu	tEH
tad	sarvanAma	puM	caturTI	eka	tasmE
tad	sarvanAma	puM	caturTI	dvi	tAByAm
tad	sarvanAma	puM	caturTI	bahu	teByaH
tad	sarvanAma	puM	paYcamI	eka	tasmAt
tad	sarvanAma	puM	paYcamI	dvi	tAByAm
tad	sarvanAma	puM	paYcamI	bahu	teByaH
tad	sarvanAma	puM	zazWI	eka	tasya
tad	sarvanAma	puM	zazWI	dvi	tayoH
tad	sarvanAma	puM	zazWI	bahu	tezAm
tad	sarvanAma	puM	saptamI	eka	tasmin
tad	sarvanAma	puM	saptamI	dvi	tayoH
tad	sarvanAma	puM	saptamI	bahu	tezu
tad	sarvanAma	puM	samboDana	eka	
tad	sarvanAma	puM	samboDana	dvi	
tad	sarvanAma	puM	samboDana	bahu	
etad	sarvanAma	puM	praTamA	eka	ezaH
etad	sarvanAma	puM	praTamA	dvi	etO
etad	sarvanAma	puM	praTamA	bahu	ete
etad	sarvanAma	puM	dvitIyA	eka	etam
etad	sarvanAma	puM	dvitIyA	dvi	etO
etad	sarvanAma	puM	dvitIyA	bahu	etAn
etad	sarvanAma	puM	tftIyA	eka	etena
etad	sarvanAma	puM	tftIyA	dvi	etAByAm
etad	sarvanAma	puM	tftIyA	bahu	etEH
etad	sarvanAma	puM	caturTI	eka	etasmE
etad	sarvanAma	puM	caturTI	dvi	etAByAm
etad	sarvanAma	puM	caturTI	bahu	eteByaH
etad	sarvanAma	puM	paYcamI	eka	etasmAt
etad	sarvanAma	puM	paYcamI	dvi	etAByAm
etad	sarvanAma	puM	paYcamI	bahu	eteByaH
etad	sarvanAma	puM	zazWI	eka	etasya
etad	sarvanAma	puM	zazWI	dvi	etayoH
etad	sarvanAma	puM	zazWI	bahu	etezAm
etad	sarvanAma	puM	saptamI	eka	etasmin
etad	sarvanAma	puM	saptamI	dvi	etayoH
etad	sarvanAma	puM	saptamI	bahu	etezu
etad	sarvanAma	puM	samboDana	eka	
etad	sarvanAma	puM	samboDana	dvi	
etad	sarvanAma	puM	samboDana	bahu	
idam	sarvanAma	puM	praTamA	eka	ayam
idam	sarvanAma	puM	praTamA	dvi	imO
idam	sarvanAma	puM	praTamA	bahu	ime
idam	sarvanAma	puM	dvitIyA	eka	imaM-enaM
idam	sarvanAma	puM	dvitIyA	dvi	imO
idam	sarvanAma	puM	dvitIyA	bahu	imAn-enAn
idam	sarvanAma	puM	tftIyA	eka	anena-enena
idam	sarvanAma	puM	tftIyA	dvi	AByAm
idam	sarvanAma	puM	tftIyA	bahu	eBiH
idam	sarvanAma	puM	caturTI	eka	asmE
idam	sarvanAma	puM	caturTI	dvi	AByAm
idam	sarvanAma	puM	caturTI	bahu	eByaH
idam	sarvanAma	puM	paYcamI	eka	asmAt
idam	sarvanAma	puM	paYcamI	dvi	AByAm
idam	sarvanAma	puM	paYcamI	bahu	eByaH
idam	sarvanAma	puM	zazWI	eka	asya
idam	sarvanAma	puM	zazWI	dvi	anayoH-enayoH
idam	sarvanAma	puM	zazWI	bahu	ezAm
idam	sarvanAma	puM	saptamI	eka	asmin
idam	sarvanAma	puM	saptamI	dvi	anayoH-enayoH
idam	sarvanAma	puM	saptamI	bahu	ezu
idam	sarvanAma	puM	samboDana	eka	
idam	sarvanAma	puM	samboDana	dvi	
idam	sarvanAma	puM	samboDana	bahu	
adas	sarvanAma	puM	praTamA	eka	asO
adas	sarvanAma	puM	praTamA	dvi	amU
adas	sarvanAma	puM	praTamA	bahu	amI
adas	sarvanAma	puM	dvitIyA	eka	amum
adas	sarvanAma	puM	dvitIyA	dvi	amU
adas	sarvanAma	puM	dvitIyA	bahu	amUn
adas	sarvanAma	puM	tftIyA	eka	amunA
adas	sarvanAma	puM	tftIyA	dvi	amUByAm
adas	sarvanAma	puM	tftIyA	bahu	amIBiH
adas	sarvanAma	puM	caturTI	eka	amuzmE
adas	sarvanAma	puM	caturTI	dvi	amUByAm
adas	sarvanAma	puM	caturTI	bahu	amIByaH
adas	sarvanAma	puM	paYcamI	eka	amuzmAt
adas	sarvanAma	puM	paYcamI	dvi	amUByAm
adas	sarvanAma	puM	paYcamI	bahu	amIByaH
adas	sarvanAma	puM	zazWI	eka	amuzya
adas	sarvanAma	puM	zazWI	dvi	amuyoH
adas	sarvanAma	puM	zazWI	bahu	amIzAm
adas	sarvanAma	puM	saptamI	eka	amuzmin
adas	sarvanAma	puM	saptamI	dvi	amuyoH
adas	sarvanAma	puM	saptamI	bahu	amIzu
adas	sarvanAma	puM	samboDana	eka	
adas	sarvanAma	puM	samboDana	dvi	
adas	sarvanAma	puM	samboDana	bahu	
kim	sarvanAma	puM	praTamA	eka	kaH
kim	sarvanAma	puM	praTamA	dvi	kO
kim	sarvanAma	puM	praTamA	bahu	ke
kim	sarvanAma	puM	dvitIyA	eka	kam
kim	sarvanAma	puM	dvitIyA	dvi	kO
kim	sarvanAma	puM	dvitIyA	bahu	kAn
kim	sarvanAma	puM	tftIyA	eka	kena
kim	sarvanAma	puM	tftIyA	dvi	kAByAm
kim	sarvanAma	puM	tftIyA	bahu	kEH
kim	sarvanAma	puM	caturTI	eka	kasmE
kim	sarvanAma	puM	caturTI	dvi	kAByAm
kim	sarvanAma	puM	caturTI	bahu	keByaH
kim	sarvanAma	puM	paYcamI	eka	kasmAt
kim	sarvanAma	puM	paYcamI	dvi	kAByAm
kim	sarvanAma	puM	paYcamI	bahu	keByaH
kim	sarvanAma	puM	zazWI	eka	kasya
kim	sarvanAma	puM	zazWI	dvi	kayoH
kim	sarvanAma	puM	zazWI	bahu	kezAm
kim	sarvanAma	puM	saptamI	eka	kasmin
kim	sarvanAma	puM	saptamI	dvi	kayoH
kim	sarvanAma	puM	saptamI	bahu	kezu
kim	sarvanAma	puM	samboDana	eka	
kim	sarvanAma	puM	samboDana	dvi	
kim	sarvanAma	puM	samboDana	bahu	
yad	sarvanAma	puM	praTamA	eka	yaH
yad	sarvanAma	puM	praTamA	dvi	yO
yad	sarvanAma	puM	praTamA	bahu	ye
yad	sarvanAma	puM	dvitIyA	eka	yam
yad	sarvanAma	puM	dvitIyA	dvi	yO
yad	sarvanAma	puM	dvitIyA	bahu	yAn
yad	sarvanAma	puM	tftIyA	eka	yena
yad	sarvanAma	puM	tftIyA	dvi	yAByAm
yad	sarvanAma	puM	tftIyA	bahu	yEH
yad	sarvanAma	puM	caturTI	eka	yasmE
yad	sarvanAma	puM	caturTI	dvi	yAByAm
yad	sarvanAma	puM	caturTI	bahu	yeByaH
yad	sarvanAma	puM	paYcamI	eka	yasmAt
yad	sarvanAma	puM	paYcamI	dvi	yAByAm
yad	sarvanAma	puM	paYcamI	bahu	yeByaH
yad	sarvanAma	puM	zazWI	eka	yasya
yad	sarvanAma	puM	zazWI	dvi	yayoH
yad	sarvanAma	puM	zazWI	bahu	yezAm
yad	sarvanAma	puM	saptamI	eka	yasmin
yad	sarvanAma	puM	saptamI	dvi	yayoH
yad	sarvanAma	puM	saptamI	bahu	yezu
yad	sarvanAma	puM	samboDana	eka	
yad	sarvanAma	puM	samboDana	dvi	
yad	sarvanAma	puM	samboDana	bahu	
asmad	sarvanAma	puM	praTamA	eka	aham
asmad	sarvanAma	puM	praTamA	dvi	AvAm
asmad	sarvanAma	puM	praTamA	bahu	vayam
asmad	sarvanAma	puM	dvitIyA	eka	mAm
asmad	sarvanAma	puM	dvitIyA	dvi	AvAm
asmad	sarvanAma	puM	dvitIyA	bahu	asmAn
asmad	sarvanAma	puM	tftIyA	eka	mayA
asmad	sarvanAma	puM	tftIyA	dvi	AvAByAm
asmad	sarvanAma	puM	tftIyA	bahu	asmABiH
asmad	sarvanAma	puM	caturTI	eka	mahyam
asmad	sarvanAma	puM	caturTI	dvi	AvAByAm
asmad	sarvanAma	puM	caturTI	bahu	asmaByam
asmad	sarvanAma	puM	paYcamI	eka	mat
asmad	sarvanAma	puM	paYcamI	dvi	AvAByAm
asmad	sarvanAma	puM	paYcamI	bahu	asmat
asmad	sarvanAma	puM	zazWI	eka	mama
asmad	sarvanAma	puM	zazWI	dvi	AvayoH
asmad	sarvanAma	puM	zazWI	bahu	asmAkam
asmad	sarvanAma	puM	saptamI	eka	mayi
asmad	sarvanAma	puM	saptamI	dvi	AvayoH
asmad	sarvanAma	puM	saptamI	bahu	asmAsu
asmad	sarvanAma	puM	samboDana	eka	
asmad	sarvanAma	puM	samboDana	dvi	
asmad	sarvanAma	puM	samboDana	bahu	
yuzmad	sarvanAma	puM	praTamA	eka	tvam
yuzmad	sarvanAma	puM	praTamA	dvi	yuvAm
yuzmad	sarvanAma	puM	praTamA	bahu	yUyam
yuzmad	sarvanAma	puM	dvitIyA	eka	tvAm
yuzmad	sarvanAma	puM	dvitIyA	dvi	yuvAm
yuzmad	sarvanAma	puM	dvitIyA	bahu	yuzmAn
yuzmad	sarvanAma	puM	tftIyA	eka	tvayA
yuzmad	sarvanAma	puM	tftIyA	dvi	yuvAByAm
yuzmad	sarvanAma	puM	tftIyA	bahu	yuzmABiH
yuzmad	sarvanAma	puM	caturTI	eka	tuByam
yuzmad	sarvanAma	puM	caturTI	dvi	yuvAByAm
yuzmad	sarvanAma	puM	caturTI	bahu	yuzmaByam
yuzmad	sarvanAma	puM	paYcamI	eka	tvat
yuzmad	sarvanAma	puM	paYcamI	dvi	yuvAByAm
yuzmad	sarvanAma	puM	paYcamI	bahu	yuzmat
yuzmad	sarvanAma	puM	zazWI	eka	tava
yuzmad	sarvanAma	puM	zazWI	dvi	yuvayoH
yuzmad	sarvanAma	puM	zazWI	bahu	yuzmAkam
yuzmad	sarvanAma	puM	saptamI	eka	tvayi
yuzmad	sarvanAma	puM	saptamI	dvi	yuvayoH
yuzmad	sarvanAma	puM	saptamI	bahu	yuzmAsu
yuzmad	sarvanAma	puM	samboDana	eka	
yuzmad	sarvanAma	puM	samboDana	dvi	
yuzmad	sarvanAma	puM	samboDana	bahu	
sarva	sarvanAma	strI	praTamA	eka	sarvA
sarva	sarvanAma	strI	praTamA	dvi	sarve
sarva	sarvanAma	strI	praTamA	bahu	sarvAH
sarva	sarvanAma	strI	dvitIyA	eka	sarvAm
sarva	sarvanAma	strI	dvitIyA	dvi	sarve
sarva	sarvanAma	strI	dvitIyA	bahu	sarvAH
sarva	sarvanAma	strI	tftIyA	eka	sarvayA
sarva	sarvanAma	strI	tftIyA	dvi	sarvAByAm
sarva	sarvanAma	strI	tftIyA	bahu	sarvABiH
sarva	sarvanAma	strI	caturTI	eka	sarvAyE
sarva	sarvanAma	strI	caturTI	dvi	sarvAByAm
sarva	sarvanAma	strI	caturTI	bahu	sarvAByaH
sarva	sarvanAma	strI	paYcamI	eka	sarvAyAH
sarva	sarvanAma	strI	paYcamI	dvi	sarvAByAm
sarva	sarvanAma	strI	paYcamI	bahu	sarvAByaH
sarva	sarvanAma	strI	zazWI	eka	sarvAyAH
sarva	sarvanAma	strI	zazWI	dvi	sarvayoH
sarva	sarvanAma	strI	zazWI	bahu	sarvAsAm
sarva	sarvanAma	strI	saptamI	eka	sarvAyAm
sarva	sarvanAma	strI	saptamI	dvi	sarvayoH
sarva	sarvanAma	strI	saptamI	bahu	sarvAsu
sarva	sarvanAma	strI	samboDana	eka	
sarva	sarvanAma	strI	samboDana	dvi	
sarva	sarvanAma	strI	samboDana	bahu	
pUrva	sarvanAma	strI	praTamA	eka	pUrvA
pUrva	sarvanAma	strI	praTamA	dvi	pUrve
pUrva	sarvanAma	strI	praTamA	bahu	pUrvAH
pUrva	sarvanAma	strI	dvitIyA	eka	pUrvAm
pUrva	sarvanAma	strI	dvitIyA	dvi	pUrve
pUrva	sarvanAma	strI	dvitIyA	bahu	pUrvAH
pUrva	sarvanAma	strI	tftIyA	eka	pUrvayA
pUrva	sarvanAma	strI	tftIyA	dvi	pUrvAByAm
pUrva	sarvanAma	strI	tftIyA	bahu	pUrvABiH
pUrva	sarvanAma	strI	caturTI	eka	pUrvAyE
pUrva	sarvanAma	strI	caturTI	dvi	pUrvAByAm
pUrva	sarvanAma	strI	caturTI	bahu	pUrvAByaH
pUrva	sarvanAma	strI	paYcamI	eka	pUrvAyAH
pUrva	sarvanAma	strI	paYcamI	dvi	pUrvAByAm
pUrva	sarvanAma	strI	paYcamI	bahu	pUrvAByaH
pUrva	sarvanAma	strI	zazWI	eka	pUrvAyAH
pUrva	sarvanAma	strI	zazWI	dvi	pUrvayoH
pUrva	sarvanAma	strI	zazWI	bahu	pUrvAsAm
pUrva	sarvanAma	strI	saptamI	eka	pUrvAyAm
pUrva	sarvanAma	strI	saptamI	dvi	pUrvayoH
pUrva	sarvanAma	strI	saptamI	bahu	pUrvAsu
pUrva	sarvanAma	strI	samboDana	eka	
pUrva	sarvanAma	strI	samboDana	dvi	
pUrva	sarvanAma	strI	samboDana	bahu	
anya	sarvanAma	strI	praTamA	eka	anyA
anya	sarvanAma	strI	praTamA	dvi	anye
anya	sarvanAma	strI	praTamA	bahu	anyAH
anya	sarvanAma	strI	dvitIyA	eka	anyAm
anya	sarvanAma	strI	dvitIyA	dvi	anye
anya	sarvanAma	strI	dvitIyA	bahu	anyAH
anya	sarvanAma	strI	tftIyA	eka	anyayA
anya	sarvanAma	strI	tftIyA	dvi	anyAByAm
anya	sarvanAma	strI	tftIyA	bahu	anyABiH
anya	sarvanAma	strI	caturTI	eka	anyAyE
anya	sarvanAma	strI	caturTI	dvi	anyAByAm
anya	sarvanAma	strI	caturTI	bahu	anyAByaH
anya	sarvanAma	strI	paYcamI	eka	anyAyAH
anya	sarvanAma	strI	paYcamI	dvi	anyAByAm
anya	sarvanAma	strI	paYcamI	bahu	anyAByaH
anya	sarvanAma	strI	zazWI	eka	anyAyAH
anya	sarvanAma	strI	zazWI	dvi	anyayoH
anya	sarvanAma	strI	zazWI	bahu	anyAsAm
anya	sarvanAma	strI	saptamI	eka	anyAyAm
anya	sarvanAma	strI	saptamI	dvi	anyayoH
anya	sarvanAma	strI	saptamI	bahu	anyAsu
anya	sarvanAma	strI	samboDana	eka	
anya	sarvanAma	strI	samboDana	dvi	
anya	sarvanAma	strI	samboDana	bahu	
viSva	sarvanAma	strI	praTamA	eka	viSvA
viSva	sarvanAma	strI	praTamA	dvi	viSve
viSva	sarvanAma	strI	praTamA	bahu	viSvAH
viSva	sarvanAma	strI	dvitIyA	eka	viSvAm
viSva	sarvanAma	strI	dvitIyA	dvi	viSve
viSva	sarvanAma	strI	dvitIyA	bahu	viSvAH
viSva	sarvanAma	strI	tftIyA	eka	viSvayA
viSva	sarvanAma	strI	tftIyA	dvi	viSvAByAm
viSva	sarvanAma	strI	tftIyA	bahu	viSvABiH
viSva	sarvanAma	strI	caturTI	eka	viSvAyE
viSva	sarvanAma	strI	caturTI	dvi	viSvAByAm
viSva	sarvanAma	strI	caturTI	bahu	viSvAByaH
viSva	sarvanAma	strI	paYcamI	eka	viSvAyAH
viSva	sarvanAma	strI	paYcamI	dvi	viSvAByAm
viSva	sarvanAma	strI	paYcamI	bahu	viSvAByaH
viSva	sarvanAma	strI	zazWI	eka	viSvAyAH
viSva	sarvanAma	strI	zazWI	dvi	viSvayoH
viSva	sarvanAma	strI	zazWI	bahu	viSvAsAm
viSva	sarvanAma	strI	saptamI	eka	viSvAyAm
viSva	sarvanAma	strI	saptamI	dvi	viSvayoH
viSva	sarvanAma	strI	saptamI	bahu	viSvAsu
viSva	sarvanAma	strI	samboDana	eka	
viSva	sarvanAma	strI	samboDana	dvi	
viSva	sarvanAma	strI	samboDana	bahu	
tad	sarvanAma	strI	praTamA	eka	sA
tad	sarvanAma	strI	praTamA	dvi	te
tad	sarvanAma	strI	praTamA	bahu	tAH
tad	sarvanAma	strI	dvitIyA	eka	tAm
tad	sarvanAma	strI	dvitIyA	dvi	te
tad	sarvanAma	strI	dvitIyA	bahu	tAH
tad	sarvanAma	strI	tftIyA	eka	tayA
tad	sarvanAma	strI	tftIyA	dvi	tAByAm
tad	sarvanAma	strI	tftIyA	bahu	tABiH
tad	sarvanAma	strI	caturTI	eka	tasyE
tad	sarvanAma	strI	caturTI	dvi	tAByAm
tad	sarvanAma	strI	caturTI	bahu	tAByaH
tad	sarvanAma	strI	paYcamI	eka	tasyAH
tad	sarvanAma	strI	paYcamI	dvi	tAByAm
tad	sarvanAma	strI	paYcamI	bahu	tAByaH
tad	sarvanAma	strI	zazWI	eka	tasyAH
tad	sarvanAma	strI	zazWI	dvi	tayoH
tad	sarvanAma	strI	zazWI	bahu	tAsAm
tad	sarvanAma	strI	saptamI	eka	tasyAm
tad	sarvanAma	strI	saptamI	dvi	tayoH
tad	sarvanAma	strI	saptamI	bahu	tAsu
tad	sarvanAma	strI	samboDana	eka	
tad	sarvanAma	strI	samboDana	dvi	
tad	sarvanAma	strI	samboDana	bahu	
etad	sarvanAma	strI	praTamA	eka	ezA
etad	sarvanAma	strI	praTamA	dvi	ete
etad	sarvanAma	strI	praTamA	bahu	etAH
etad	sarvanAma	strI	dvitIyA	eka	etAm
etad	sarvanAma	strI	dvitIyA	dvi	ete
etad	sarvanAma	strI	dvitIyA	bahu	etAH
etad	sarvanAma	strI	tftIyA	eka	etayA
etad	sarvanAma	strI	tftIyA	dvi	etAByAm
etad	sarvanAma	strI	tftIyA	bahu	etABiH
etad	sarvanAma	strI	caturTI	eka	etasyE
etad	sarvanAma	strI	caturTI	dvi	etAByAm
etad	sarvanAma	strI	caturTI	bahu	etAByaH
etad	sarvanAma	strI	paYcamI	eka	etasyAH
etad	sarvanAma	strI	paYcamI	dvi	etAByAm
etad	sarvanAma	strI	paYcamI	bahu	etAByaH
etad	sarvanAma	strI	zazWI	eka	etasyAH
etad	sarvanAma	strI	zazWI	dvi	etayoH
etad	sarvanAma	strI	zazWI	bahu	etAsAm
etad	sarvanAma	strI	saptamI	eka	etasyAm
etad	sarvanAma	strI	saptamI	dvi	etayoH
etad	sarvanAma	strI	saptamI	bahu	etAsu
etad	sarvanAma	strI	samboDana	eka	
etad	sarvanAma	strI	samboDana	dvi	
etad	sarvanAma	strI	samboDana	bahu	
idam	sarvanAma	strI	praTamA	eka	iyam
idam	sarvanAma	strI	praTamA	dvi	ime
idam	sarvanAma	strI	praTamA	bahu	imAH
idam	sarvanAma	strI	dvitIyA	eka	imAm-enAm
idam	sarvanAma	strI	dvitIyA	dvi	ime-ene
idam	sarvanAma	strI	dvitIyA	bahu	imAH-enAH
idam	sarvanAma	strI	tftIyA	eka	anayA-enayA
idam	sarvanAma	strI	tftIyA	dvi	AByAm
idam	sarvanAma	strI	tftIyA	bahu	ABiH
idam	sarvanAma	strI	caturTI	eka	asyE
idam	sarvanAma	strI	caturTI	dvi	AByAm
idam	sarvanAma	strI	caturTI	bahu	AByaH
idam	sarvanAma	strI	paYcamI	eka	asyAH
idam	sarvanAma	strI	paYcamI	dvi	AByAm
idam	sarvanAma	strI	paYcamI	bahu	AByaH
idam	sarvanAma	strI	zazWI	eka	asyAH
idam	sarvanAma	strI	zazWI	dvi	anayoH-enayoH
idam	sarvanAma	strI	zazWI	bahu	AsAm
idam	sarvanAma	strI	saptamI	eka	asyAm
idam	sarvanAma	strI	saptamI	dvi	anayoH-enayoH
idam	sarvanAma	strI	saptamI	bahu	Asu
idam	sarvanAma	strI	samboDana	eka	
idam	sarvanAma	strI	samboDana	dvi	
idam	sarvanAma	strI	samboDana	bahu	
adas	sarvanAma	strI	praTamA	eka	asO
adas	sarvanAma	strI	praTamA	dvi	amU
adas	sarvanAma	strI	praTamA	bahu	amUH
adas	sarvanAma	strI	dvitIyA	eka	amUm
adas	sarvanAma	strI	dvitIyA	dvi	amU
adas	sarvanAma	strI	dvitIyA	bahu	amUH
adas	sarvanAma	strI	tftIyA	eka	amuyA
adas	sarvanAma	strI	tftIyA	dvi	amUByAm
adas	sarvanAma	strI	tftIyA	bahu	amUBiH
adas	sarvanAma	strI	caturTI	eka	amuzyE
adas	sarvanAma	strI	caturTI	dvi	amUByAm
adas	sarvanAma	strI	caturTI	bahu	amUByaH
adas	sarvanAma	strI	paYcamI	eka	amuzyAH
adas	sarvanAma	strI	paYcamI	dvi	amUByAm
adas	sarvanAma	strI	paYcamI	bahu	amUByaH
adas	sarvanAma	strI	zazWI	eka	amuzyAH
adas	sarvanAma	strI	zazWI	dvi	amuyoH
adas	sarvanAma	strI	zazWI	bahu	amUzAm
adas	sarvanAma	strI	saptamI	eka	amuzyAm
adas	sarvanAma	strI	saptamI	dvi	amuyoH
adas	sarvanAma	strI	saptamI	bahu	amUzu
adas	sarvanAma	strI	samboDana	eka	
adas	sarvanAma	strI	samboDana	dvi	
adas	sarvanAma	strI	samboDana	bahu	
kim	sarvanAma	strI	praTamA	eka	kA
kim	sarvanAma	strI	praTamA	dvi	ke
kim	sarvanAma	strI	praTamA	bahu	kAH
kim	sarvanAma	strI	dvitIyA	eka	kAm
kim	sarvanAma	strI	dvitIyA	dvi	ke
kim	sarvanAma	strI	dvitIyA	bahu	kAH
kim	sarvanAma	strI	tftIyA	eka	kayA
kim	sarvanAma	strI	tftIyA	dvi	kAByAm
kim	sarvanAma	strI	tftIyA	bahu	kABiH
kim	sarvanAma	strI	caturTI	eka	kasyE
kim	sarvanAma	strI	caturTI	dvi	kAByAm
kim	sarvanAma	strI	caturTI	bahu	kAByaH
kim	sarvanAma	strI	paYcamI	eka	kasyAH
kim	sarvanAma	strI	paYcamI	dvi	kAByAm
kim	sarvanAma	strI	paYcamI	bahu	kAByaH
kim	sarvanAma	strI	zazWI	eka	kasyAH
kim	sarvanAma	strI	zazWI	dvi	kayoH
kim	sarvanAma	strI	zazWI	bahu	kAsAm
kim	sarvanAma	strI	saptamI	eka	kasyAm
kim	sarvanAma	strI	saptamI	dvi	kayoH
