prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
sarva	sarvanAma	puM	praTamA	eka	sarvaH
sarva	sarvanAma	puM	praTamA	dvi	sarvO
sarva	sarvanAma	puM	praTamA	bahu	sarve
sarva	sarvanAma	puM	dvitIyA	eka	sarvam
sarva	sarvanAma	puM	dvitIyA	dvi	sarvO
sarva	sarvanAma	puM	dvitIyA	bahu	sarvAn
sarva	sarvanAma	puM	tftIyA	eka	sarveRa
sarva	sarvanAma	puM	tftIyA	dvi	sarvAByAm
sarva	sarvanAma	puM	tftIyA	bahu	sarvEH
sarva	sarvanAma	puM	caturTI	eka	sarvasmE
sarva	sarvanAma	puM	caturTI	dvi	sarvAByAm
sarva	sarvanAma	puM	caturTI	bahu	sarveByaH
sarva	sarvanAma	puM	paYcamI	eka	sarvasmAt
sarva	sarvanAma	puM	paYcamI	dvi	sarvAByAm
sarva	sarvanAma	puM	paYcamI	bahu	sarveByaH
sarva	sarvanAma	puM	zazWI	eka	sarvasya
sarva	sarvanAma	puM	zazWI	dvi	sarvayoH
sarva	sarvanAma	puM	zazWI	bahu	sarvezAm
sarva	sarvanAma	puM	saptamI	eka	sarvasmin
sarva	sarvanAma	puM	saptamI	dvi	sarvayoH
sarva	sarvanAma	puM	saptamI	bahu	sarvezu
sarva	sarvanAma	puM	samboDana	eka	
sarva	sarvanAma	puM	samboDana	dvi	
sarva	sarvanAma	puM	samboDana	bahu	
pUrva	sarvanAma	puM	praTamA	eka	pUrvaH
pUrva	sarvanAma	puM	praTamA	dvi	pUrvO
pUrva	sarvanAma	puM	praTamA	bahu	pUrve
pUrva	sarvanAma	puM	dvitIyA	eka	pUrvam
pUrva	sarvanAma	puM	dvitIyA	dvi	pUrvO
pUrva	sarvanAma	puM	dvitIyA	bahu	pUrvAn
pUrva	sarvanAma	puM	tftIyA	eka	pUrveRa
pUrva	sarvanAma	puM	tftIyA	dvi	pUrvAByAm
pUrva	sarvanAma	puM	tftIyA	bahu	pUrvEH
pUrva	sarvanAma	puM	caturTI	eka	pUrvasmE
pUrva	sarvanAma	puM	caturTI	dvi	pUrvAByAm
pUrva	sarvanAma	puM	caturTI	bahu	pUrveByaH
pUrva	sarvanAma	puM	paYcamI	eka	pUrvasmAt
pUrva	sarvanAma	puM	paYcamI	dvi	pUrvAByAm
pUrva	sarvanAma	puM	paYcamI	bahu	pUrveByaH
pUrva	sarvanAma	puM	zazWI	eka	pUrvasya
pUrva	sarvanAma	puM	zazWI	dvi	pUrvayoH
pUrva	sarvanAma	puM	zazWI	bahu	pUrvezAm
pUrva	sarvanAma	puM	saptamI	eka	pUrvasmin
pUrva	sarvanAma	puM	saptamI	dvi	pUrvayoH
pUrva	sarvanAma	puM	saptamI	bahu	pUrvezu
pUrva	sarvanAma	puM	samboDana	eka	
pUrva	sarvanAma	puM	samboDana	dvi	
pUrva	sarvanAma	puM	samboDana	bahu	
anya	sarvanAma	puM	praTamA	eka	anyaH
anya	sarvanAma	puM	praTamA	dvi	anyO
anya	sarvanAma	puM	praTamA	bahu	anye
anya	sarvanAma	puM	dvitIyA	eka	anyam
anya	sarvanAma	puM	dvitIyA	dvi	anyO
anya	sarvanAma	puM	dvitIyA	bahu	anyAn
anya	sarvanAma	puM	tftIyA	eka	anyena
anya	sarvanAma	puM	tftIyA	dvi	anyAByAm
anya	sarvanAma	puM	tftIyA	bahu	anyEH
anya	sarvanAma	puM	caturTI	eka	anyasmE
anya	sarvanAma	puM	caturTI	dvi	anyAByAm
anya	sarvanAma	puM	caturTI	bahu	anyeByaH
anya	sarvanAma	puM	paYcamI	eka	anyasmAt
anya	sarvanAma	puM	paYcamI	dvi	anyAByAm
anya	sarvanAma	puM	paYcamI	bahu	anyeByaH
anya	sarvanAma	puM	zazWI	eka	anyasya
anya	sarvanAma	puM	zazWI	dvi	anyayoH
anya	sarvanAma	puM	zazWI	bahu	anyezAm
anya	sarvanAma	puM	saptamI	eka	anyasmin
anya	sarvanAma	puM	saptamI	dvi	anyayoH
anya	sarvanAma	puM	saptamI	bahu	anyezu
anya	sarvanAma	puM	samboDana	eka	
anya	sarvanAma	puM	samboDana	dvi	
anya	sarvanAma	puM	samboDana	bahu	
viSva	sarvanAma	puM	praTamA	eka	viSvaH
viSva	sarvanAma	puM	praTamA	dvi	viSvO
viSva	sarvanAma	puM	praTamA	bahu	viSve
viSva	sarvanAma	puM	dvitIyA	eka	viSvam
viSva	sarvanAma	puM	dvitIyA	dvi	viSvO
viSva	sarvanAma	puM	dvitIyA	bahu	viSvAn
viSva	sarvanAma	puM	tftIyA	eka	viSvena
viSva	sarvanAma	puM	tftIyA	dvi	viSvAByAm
viSva	sarvanAma	puM	tftIyA	bahu	viSvEH
viSva	sarvanAma	puM	caturTI	eka	viSvasmE
viSva	sarvanAma	puM	caturTI	dvi	viSvAByAm
viSva	sarvanAma	puM	caturTI	bahu	viSveByaH
viSva	sarvanAma	puM	paYcamI	eka	viSvasmAt
viSva	sarvanAma	puM	paYcamI	dvi	viSvAByAm
viSva	sarvanAma	puM	paYcamI	bahu	viSveByaH
viSva	sarvanAma	puM	zazWI	eka	viSvasya
