	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
	आवां ग्रन्थौ पठावः	आवां ग्रन्थौ पठाव	आवां ग्रन्थौ अपठाव	आवां ग्रन्थौ पठेव	आवां ग्रन्थौ पठिष्यावः	आवां ग्रन्थौ पठितास्वः	आवां ग्रन्थौ पठ्यास्व	आवां ग्रन्थौ अपठिष्याव	आवां ग्रन्थौ पेठिव	आवां ग्रन्थौ अपाठिष्व
	वयं ग्रन्थान् पठामः	वयं ग्रन्थान् पठाम	वयं ग्रन्थान् अपठाम	वयं ग्रन्थान् पठेम	वयं ग्रन्थान् पठिष्यामः	वयं ग्रन्थान् पठितास्मः	वयं ग्रन्थान् पठ्यास्म	वयं ग्रन्थान् अपठिष्याम	वयं ग्रन्थान् पेठिम	वयं ग्रन्थान् अपाठिष्म
										
अदादिगणः										
प्रथमपुरुषः	बालकः/बालिका ग्रामं याति	बालकः/बालिका ग्रामं यातु	बालकः/बालिका ग्रामम् आयात्	बालकः/बालिका ग्रामं यायात्	बालकः/बालिका ग्रामं यास्यति	बालकः/बालिका ग्रामं याता	बालकः/बालिका ग्रामं यायात्	बालकः/बालिका ग्रामम् अयास्यत्	बालकः/बालिका ग्रामं ययौ	बालकः/बालिका ग्रामम् अयासीत्
	बालकौ/बालिके ग्रामे यातः	बालकौ/बालिके ग्रामे याताम्	बालकौ/बालिके ग्रामे आयातम्	बालकौ/बालिके ग्रामे यायातम्	बालकौ/बालिके ग्रामे यास्यतः	बालकौ/बालिके ग्रामे यातारौ	बालकौ/बालिके ग्रामे यायास्तम्	बालकौ/बालिके ग्रामे अयास्यताम्	बालकौ/बालिके ग्रामे ययतुः	बालकौ/बालिके ग्रामे अयासिष्टाम्
	बालकाः/बालिकाः ग्रामाणि यान्ति	बालकाः/बालिकाः ग्रामाणि यान्तु	बालकाः/बालिकाः ग्रामाणि अयुः/अयान्	बालकाः/बालिकाः ग्रामाणि यायुः	बालकाः/बालिकाः ग्रामाणि यास्यन्ति	बालकाः/बालिकाः ग्रामाणि यातारः	बालकाः/बालिकाः ग्रामाणि यायासुः 	बालकाः/बालिकाः ग्रामाणि अयास्यन्	बालकाः/बालिकाः ग्रामाणि ययुः	बालकाः/बालिकाः ग्रामाणि अयासिषुः
										
मध्यमपुरुषः	त्वं ग्रामं यासि	त्वं ग्रामं याहि	त्वं ग्रामम् अयाः	त्वं ग्रामं यायाः	त्वं ग्रामं यास्यसि	त्वं ग्रामं यातासि	त्वं ग्रामं यायाः	त्वं ग्रामम् अयास्यः	त्वं ग्रामं ययिथ, ययाथ	त्वं ग्रामम् अयासीः
	युवां ग्रामे याथः	युवां ग्रामे यातम्	युवां ग्रामे अयातम्	युवां ग्रामे यायातम्	युवां ग्रामे यास्यथः	युवां ग्रामे यातास्थः	युवां ग्रामे यायास्तम्	युवां ग्रामे अयास्यतम्	युवां ग्रामे ययथुः	युवां ग्रामे अयासिष्टम्
	यूयं ग्रामाणि याथ	यूयं ग्रामाणि यात	यूयं ग्रामाणि अयात	यूयं ग्रामाणि यायात	यूयं ग्रामाणि यास्यथ	यूयं ग्रामाणि यातास्थ	यूयं ग्रामाणि यायास्त	यूयं ग्रामाणि अयास्यत	यूयं ग्रामाणि यय	यूयं ग्रामाणि अयासिष्ट
										
उत्तमपुरुषः	अहं ग्रामं यामि	अहं ग्रामं यानि	अहं ग्रामम् अयाम्	अहं ग्रामं यायाम्	अहं ग्रामं यास्यामि	अहं ग्रामं यातास्मि	अहं ग्रामं यायासम्	अहं ग्रामम् अयास्यम्	अहं ग्रामं ययौ	अहं ग्रामम् अयासिषम्
	आवां ग्रामे यावः	आवां ग्रामे याव	आवां ग्रामे अयाव	आवां ग्रामे यायाव	आवां ग्रामे यास्यावः	आवां ग्रामे यातास्वः	आवां ग्रामे यायास्व	आवां ग्रामे अयास्व	आवां ग्रामे ययिव	आवां ग्रामे अयासिष्व
	वयं ग्रामाणि यामः	वयं ग्रामाणि याम	वयं ग्रामाणि अयाम	वयं ग्रामाणि यायाम	वयं ग्रामाणि यास्यामः	वयं ग्रामाणि यातास्मः	वयं ग्रामाणि यायास्म	वयं ग्रामाणि आयास्म	वयं ग्रामाणि ययिम	वयं ग्रामाणि अयासिष्म
										
जुहोत्यादिगणः										
प्रथमपुरुषः	बालकः/बालिका क्रोधं जहाति	बालकः/बालिका क्रोधं जहातु	बालकः/बालिका क्रोधम् अजहात्	बालकः/बालिका क्रोधं जह्यात्	बालकः/बालिका क्रोधं हास्यति	बालकः/बालिका क्रोधं हाता	बालकः/बालिका क्रोधं हेयात्	बालकः/बालिका क्रोधम् अहास्यत्	बालकः/बालिका क्रोधं जहौ	बालकः/बालिका क्रोधम् अहासीत्
