	लट्लकारः	लोट्लकारः	लङ्लकारः	विधिलिङ्लकारः	लृट्लकारः	लुट्लकारः	आशीर्लिङ्लकारः	लृङ्लकारः	लिट्लकारः	लुङ्लकारः
	युवां कार्ये कुरुथः	युवां कार्ये कुरुतम्	युवां कार्ये अकुरुतम्	युवां कार्ये कुर्यातम्	युवां कार्ये करिष्यथः	युवां कार्ये कर्तास्थः	युवां कार्ये क्रियास्तम्	युवां कार्ये अकरिष्यतम्	युवां कार्ये चक्रथुः	युवां कार्ये अकार्ष्टम्
	यूयं कार्याणि कुरुथ	यूयं कार्याणि कुरुत	यूयं कार्याणि अकुरुत	यूयं कार्याणि कुर्यात	यूयं कार्याणि करिष्यथ	यूयं कार्याणि कर्तास्थ	यूयं कार्याणि क्रियास्त	यूयं कार्याणि अकरिष्यत	यूयं कार्याणि चक्र	यूयं कार्याणि अकार्ष्ट
										
उत्तमपुरुषः	अहं कार्यं करोमि	अहं कार्यं करवाणि	अहं कार्यम् अकरवम्	अहं कार्यं कुर्याम्	अहं कार्यं करिष्यामि	अहं कार्यं कर्तास्मि	अहं कार्यं क्रियासम्	अहं कार्यम् अकरिष्यम्	अहं कार्यं चकार, चकर	अहं कार्यम् अकार्षम्
	आवां कार्ये कुर्वः	आवां कार्ये करवाव	आवां कार्ये अकुर्व	आवां कार्ये कुर्याव	आवां कार्ये करिष्यावः	आवां कार्ये कर्तास्वः	आवां कार्ये क्रियास्व	आवां कार्ये अकरिष्याव	आवां कार्ये चकृव	आवां कार्ये अकार्ष्व
	वयं कार्याणि कुर्मः	वयं कार्याणि करवाम	वयं कार्याणि अकुर्म	वयं कार्याणि कुर्याम	वयं कार्याणि करिष्यामः	वयं कार्याणि कर्तास्मः	वयं कार्याणि क्रियास्म	वयं कार्याणि अकरिष्याम	वयं कार्याणि चकृम	वयं कार्याणि अकार्ष्म
										
क्र्यादिगणः										
प्रथमपुरुषः	बालकः/बालिका चित्रं क्रीणाति	बालकः/बालिका चित्रं क्रीणातु	बालकः/बालिका चित्रम् अक्रीणात्	बालकः/बालिका चित्रं क्रीणीयात्	बालकः/बालिका चित्रं क्रेष्यति	बालकः/बालिका चित्रं क्रेता	बालकः/बालिका चित्रं क्रीयात्	बालकः/बालिका चित्रम् अक्रेष्यत्	बालकः/बालिका चित्रं चिक्राय	बालकः/बालिका चित्रम् अक्रैषीत्
	बालकौ/बालिके चित्रे क्रीणीतः	बालकौ/बालिके चित्रे क्रीणीताम्	बालकौ/बालिके चित्रे अक्रीणीताम्	बालकौ/बालिके चित्रे क्रीणीयाताम्	बालकौ/बालिके चित्रे क्रेष्यतः	बालकौ/बालिके चित्रे क्रेतारौ	बालकौ/बालिके चित्रे क्रीयास्ताम्	बालकौ/बालिके चित्रे अक्रेष्यताम्	बालकौ/बालिके चित्रे चिक्रियतुः	बालकौ/बालिके चित्रे अक्रैष्टाम्
	बालकाः/बालिकाः चित्राणि क्रीणन्ति	बालकाः/बालिकाः चित्राणि क्रीणन्तु	बालकाः/बालिकाः चित्राणि अक्रीणन्	बालकाः/बालिकाः चित्राणि क्रीणीयुः	बालकाः/बालिकाः चित्राणि क्रेष्यन्ति	बालकाः/बालिकाः चित्राणि क्रेतारः	बालकाः/बालिकाः चित्राणि क्रीयासुः	बालकाः/बालिकाः चित्राणि अक्रेष्यन्	बालकाः/बालिकाः चित्राणि चिक्रियुः	बालकाः/बालिकाः चित्राणि अक्रैषुः
										
मध्यमपुरुषः	त्वं चित्रं क्रीणासि	त्वं चित्रं क्रीणीहि	त्वं चित्रम् अक्रीणः	त्वं चित्रं क्रीणीयाः	त्वं चित्रं क्रेष्यसि	त्वं चित्रं क्रेतासि	त्वं चित्रं क्रीयाः	त्वं चित्रम् अक्रेष्यः	त्वं चित्रं चिक्रयिथ, चिक्रेथ	त्वं चित्रम् अक्रैषीः
	युवां चित्रे क्रीणीथः	युवां चित्रे क्रीणीतम्	युवां चित्रे अक्रीणीतम्	युवां चित्रे क्रीणीयातम्	युवां चित्रे क्रेष्यथः	युवां चित्रे क्रेतास्थः	युवां चित्रे क्रीयास्तम्	युवां चित्रे अक्रेष्यतम्	युवां चित्रे चिक्रियथुः	युवां चित्रे अक्रैष्टम्
	यूयं चित्राणि क्रीणीथ	यूयं चित्राणि क्रीणीत	यूयं चित्राणि अक्रीणीत	यूयं चित्राणि क्रीणीयात	यूयं चित्राणि क्रेष्यथ	यूयं चित्राणि क्रेतास्थ	यूयं चित्राणि क्रीयास्त	यूयं चित्राणि अक्रेष्यत	यूयं चित्राणि चिक्रिय	यूयं चित्राणि अक्रैष्ट
										
उत्तमपुरुषः	अहं चित्रं क्रीणामि	अहं चित्रं क्रीणानि	अहं चित्रम् अक्रीणाम्	अहं चित्रं क्रीणीयाम्	अहं चित्रं क्रेष्यामि	अहं चित्रं क्रेतास्मि	अहं चित्रं क्रीयासम्	अहं चित्रम् अक्रेष्यम्	अहं चित्रं चिक्राय	अहं चित्रम् अक्रैषम्
	आवां चित्रे क्रीणीवः	आवां चित्रे क्रीणाव	आवां चित्रे अक्रीणीव	आवां चित्रे क्रीणीयाव	आवां चित्रे क्रेष्यावः	आवां चित्रे क्रेतास्वः	आवां चित्रे क्रीयास्व	आवां चित्रे अक्रेष्याव	आवां चित्रे चिक्रियिव	आवां चित्रे अक्रैष्व
	वयं चित्राणि क्रीणीमः	वयं चित्राणि क्रीणाम	वयं चित्राणि अक्रीणीम	वयं चित्राणि क्रीणीयाम	वयं चित्राणि क्रेष्यामः	वयं चित्राणि क्रेतास्मः	वयं चित्राणि क्रीयास्म	वयं चित्राणि अक्रेष्याम	वयं चित्राणि चिक्रियिम	वयं चित्राणि अक्रैष्म
										
चुरादिगणः										
प्रथमपुरुषः	बालकः/बालिका कथां कथयति	बालकः/बालिका कथां कथयतु	बालकः/बालिका कथाम् अकथयत्	बालकः/बालिका कथां कथयेत्	बालकः/बालिका कथां कथयिष्यति	बालकः/बालिका कथां कथयिता	बालकः/बालिका कथां कथ्यात् 	बालकः/बालिका कथाम् अकथयिष्यत्	बालकः/बालिका कथां कथयाञ्चकार	बालकः/बालिका कथाम् अचकथत्
	बालकौ/बालिके कथे कथयतः	बालकौ/बालिके कथे कथयताम्	बालकौ/बालिके कथे अकथयताम्	बालकौ/बालिके कथे कथयेताम्	बालकौ/बालिके कथे कथयिष्यतः	बालकौ/बालिके कथे कथयितारौ	बालकौ/बालिके कथे कथ्यास्ताम्	बालकौ/बालिके कथे अकथयिष्यताम्	बालकौ/बालिके कथे कथयाञ्चक्रतुः	बालकौ/बालिके कथे अचकथताम्
	बालकाः/बालिकाः कथाः कथयन्ति	बालकाः/बालिकाः कथाः कथयन्तु	बालकाः/बालिकाः कथाः अकथयन्	बालकाः/बालिकाः कथाः कथयेयुः	बालकाः/बालिकाः कथाः कथयिष्यन्ति	बालकाः/बालिकाः कथाः कथयितारः	बालकाः/बालिकाः कथाः कथ्यासुः	बालकाः/बालिकाः कथाः अकथयिष्यन्	बालकाः/बालिकाः कथाः कथयाञ्चक्रुः	बालकाः/बालिकाः अचकथन्
										
मध्यमपुरुषः	त्वं कथां कथयसि	त्वं कथां कथयसि	त्वं कथाम् अकथयः	त्वं कथां कथयेः	त्वं कथां कथयिष्यसि	त्वं कथां कथयितासि	त्वं कथां कथ्याः	त्वं कथाम् अकथयिष्यः	त्वं कथां कथयाञ्चकर्थ	त्वं कथाम् अचकथाः
	युवां कथे कथयथः	युवां कथे कथयथः	युवां कथे अकथयतम्	युवां कथे कथयेतम्	युवां कथे कथयिष्यथः	युवां कथे कथयितास्थः	युवां कथे कथ्यास्तम्	युवां कथे अकथयिष्यतम्	युवां कथे कथयाञ्चक्रथुः	युवां कथे अचकथतम्
	यूयं कथाः कथयथ	यूयं कथाः कथयथ	यूयं कथाः अकथयत	यूयं कथाः कथयेत	यूयं कथाः कथयिष्यथ	यूयं कथाः कथयितास्थ	यूयं कथाः कथ्यास्त	यूयं कथाः अकथयिष्यत	यूयं कथाः कथयाञ्चक्र	यूयं कथाः अचकथत
										
उत्तमपुरुषः	अहं कथां कथयामि	अहं कथां कथयामि	अहं कथाम् अकथयम्	अहं कथां कथयेयम्	अहं कथां कथयिष्यामि	अहं कथां कथयितास्मि	अहं कथां कथ्यास्मि	अहं कथाम् अकथयिष्यम्	अहं कथां कथयाञ्चकार, चकर	अहं कथाम् अचकथम्
	आवां कथे कथयावः	आवां कथे कथयावः	आवां कथे अकथयाव	आवां कथे कथयेव	आवां कथे कथयिष्यावः	आवां कथे कथयितास्वः	आवां कथे कथ्यास्व	आवां कथे अकथयिष्याव	आवां कथे कथयाञ्चकृव	आवां कथे अचकथाव
	वयं कथाः कथयामः	वयं कथाः कथयामः	वयं कथाः अकथयाम	वयं कथाः कथयेम	वयं कथाः कथयिष्यामः	वयं कथाः कथयितास्मः	वयं कथाः कथ्यास्म	वयं कथाः अकथयिष्याम	वयं कथाः कथयाञ्चकृम	वयं कथाः अचकथाम
