	bAlakAH-bAlikAH grAmARi yAnti	bAlakAH-bAlikAH grAmARi yAntu	bAlakAH-bAlikAH grAmARi ayuH-ayAn	bAlakAH-bAlikAH grAmARi yAyuH	bAlakAH-bAlikAH grAmARi yAsyanti	bAlakAH-bAlikAH grAmARi yAtAraH	bAlakAH-bAlikAH grAmARi yAyAsuH 	bAlakAH-bAlikAH grAmARi ayAsyan	bAlakAH-bAlikAH grAmARi yayuH	bAlakAH-bAlikAH grAmARi ayAsizuH
										
maDyamapuruzaH	tvaM grAmaM yAsi	tvaM grAmaM yAhi	tvaM grAmam ayAH	tvaM grAmaM yAyAH	tvaM grAmaM yAsyasi	tvaM grAmaM yAtAsi	tvaM grAmaM yAyAH	tvaM grAmam ayAsyaH	tvaM grAmaM yayiTa, yayATa	tvaM grAmam ayAsIH
	yuvAM grAme yATaH	yuvAM grAme yAtam	yuvAM grAme ayAtam	yuvAM grAme yAyAtam	yuvAM grAme yAsyaTaH	yuvAM grAme yAtAsTaH	yuvAM grAme yAyAstam	yuvAM grAme ayAsyatam	yuvAM grAme yayaTuH	yuvAM grAme ayAsizwam
	yUyaM grAmARi yATa	yUyaM grAmARi yAta	yUyaM grAmARi ayAta	yUyaM grAmARi yAyAta	yUyaM grAmARi yAsyaTa	yUyaM grAmARi yAtAsTa	yUyaM grAmARi yAyAsta	yUyaM grAmARi ayAsyata	yUyaM grAmARi yaya	yUyaM grAmARi ayAsizwa
										
uttamapuruzaH	ahaM grAmaM yAmi	ahaM grAmaM yAni	ahaM grAmam ayAm	ahaM grAmaM yAyAm	ahaM grAmaM yAsyAmi	ahaM grAmaM yAtAsmi	ahaM grAmaM yAyAsam	ahaM grAmam ayAsyam	ahaM grAmaM yayO	ahaM grAmam ayAsizam
	AvAM grAme yAvaH	AvAM grAme yAva	AvAM grAme ayAva	AvAM grAme yAyAva	AvAM grAme yAsyAvaH	AvAM grAme yAtAsvaH	AvAM grAme yAyAsva	AvAM grAme ayAsva	AvAM grAme yayiva	AvAM grAme ayAsizva
	vayaM grAmARi yAmaH	vayaM grAmARi yAma	vayaM grAmARi ayAma	vayaM grAmARi yAyAma	vayaM grAmARi yAsyAmaH	vayaM grAmARi yAtAsmaH	vayaM grAmARi yAyAsma	vayaM grAmARi AyAsma	vayaM grAmARi yayima	vayaM grAmARi ayAsizma
										
juhotyAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA kroDaM jahAti	bAlakaH-bAlikA kroDaM jahAtu	bAlakaH-bAlikA kroDam ajahAt	bAlakaH-bAlikA kroDaM jahyAt	bAlakaH-bAlikA kroDaM hAsyati	bAlakaH-bAlikA kroDaM hAtA	bAlakaH-bAlikA kroDaM heyAt	bAlakaH-bAlikA kroDam ahAsyat	bAlakaH-bAlikA kroDaM jahO	bAlakaH-bAlikA kroDam ahAsIt
	bAlakO-bAlike kroDaM jahItaH	bAlakO-bAlike kroDaM jahItAm	bAlakO-bAlike kroDam ajahItAm	bAlakO-bAlike kroDaM jahyAtAm	bAlakO-bAlike kroDaM hAsyataH	bAlakO-bAlike kroDaM hAtArO	bAlakO-bAlike kroDaM heyAstAm	bAlakO-bAlike kroDam ahAsyatAm	bAlakO-bAlike kroDaM jahatuH	bAlakO-bAlike kroDam ahAsizwam
	bAlakAH-bAlikAH kroDaM jahati	bAlakAH-bAlikAH kroDaM jahatu	bAlakAH-bAlikAH kroDam ajahIta	bAlakAH-bAlikAH kroDaM jahyuH	bAlakAH-bAlikAH kroDaM hAsyanti	bAlakAH-bAlikAH kroDaM hAtAraH	bAlakAH-bAlikAH kroDaM heyAsuH	bAlakAH-bAlikAH kroDam ahAsyan	bAlakAH-bAlikAH kroDaM jahuH	bAlakAH-bAlikAH kroDam ahAsizwa
										
maDyamapuruzaH	tvaM kroDaM jahAsi	tvaM kroDaM jahAhi, kroDaM jahIhi	tvaM kroDam ajahAH	tvaM kroDaM jahyAH	tvaM kroDaM hAsyasi	tvaM kroDaM hAtAsi	tvaM kroDaM heyAH	tvaM kroDam ahAsyaH	tvaM kroDaM jahiTa, kroDaM jahATa	tvaM kroDam ahAsIH
	yuvAM kroDaM jahITaH	yuvAM kroDaM jahItam	yuvAM kroDam ajahItam	yuvAM kroDaM jahyAtam	yuvAM kroDaM hAsyaTaH	yuvAM kroDaM hAtAsTaH	yuvAM kroDaM heyAstam	yuvAM kroDam ahAsyatam	yuvAM kroDaM jahaTuH	yuvAM kroDam ahAsizwam
	yUyaM kroDaM jahITa	yUyaM kroDaM jahIta	yUyaM kroDam ajahIta	yUyaM kroDaM jahyAta	yUyaM kroDaM hAsyaTa	yUyaM kroDaM hAtAsTa	yUyaM kroDaM heyAsta	yUyaM kroDam ahAsyata	yUyaM kroDaM jaha	yUyaM kroDam ahAsizwa
										
uttamapuruzaH	ahaM kroDaM jahAmi	ahaM kroDaM jahAni	ahaM kroDam ajahAm	ahaM kroDaM jahyAm	ahaM kroDaM hAsyAmi	ahaM kroDaM hAtAsmi	ahaM kroDaM heyAsam	ahaM kroDam ahAsyam	ahaM kroDaM jahO	ahaM kroDam ahAsizam
	AvAM kroDaM jahIvaH	AvAM kroDaM jahAva	AvAM kroDam ajahIva	AvAM kroDaM jahyAva	AvAM kroDaM hAsyAvaH	AvAM kroDaM hAtAsvaH	AvAM kroDaM heyAsva	AvAM kroDam ahAsyAva	AvAM kroDaM jahiva	AvAM kroDam ahAsizva
	vayaM kroDaM jahImaH	vayaM kroDaM jahAma	vayaM kroDam ajahIma	vayaM kroDaM jahyAma	vayaM kroDaM hAsyAmaH	vayaM kroDaM hAtAsmaH	vayaM kroDaM heyAsma	vayaM kroDam ahAsyAma	vayaM kroDaM jahima	vayaM kroDam ahAsizma
										
divAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA patraM kzipyati	bAlakaH-bAlikA patraM kzipyatu	bAlakaH-bAlikA patram akzipyat	bAlakaH-bAlikA patraM kzipyet	bAlakaH-bAlikA patraM kzepsyati	bAlakaH-bAlikA patraM kzeptA	bAlakaH-bAlikA patraM kzipyAt	bAlakaH-bAlikA patram akzepsyat	bAlakaH-bAlikA patraM cikzepa	bAlakaH-bAlikA patram akzipat
	bAlakO-bAlike patre kzipyataH	bAlakO-bAlike patre kzipyatAm	bAlakO-bAlike patre akzipyatAm	bAlakO-bAlike patre kzipyetAm	bAlakO-bAlike patre kzepsyataH	bAlakO-bAlike patre kzeptArO	bAlakO-bAlike patre kzipyAstAm	bAlakO-bAlike patre akzepsyatAm	bAlakO-bAlike patre cikzipatuH	bAlakO-bAlike patre akzipatAm
	bAlakAH-bAlikAH patrARi kzipyanti	bAlakAH-bAlikAH patrARi kzipyantu	bAlakAH-bAlikAH patrARi akzipyan	bAlakAH-bAlikAH patrARi kzipyeyuH	bAlakAH-bAlikAH patrARi kzepsyanti	bAlakAH-bAlikAH patrARi kzeptAraH	bAlakAH-bAlikAH patrARi kzipyAsuH	bAlakAH-bAlikAH patrARi akzepsyan	bAlakAH-bAlikAH patrARi cikzipuH	bAlakAH-bAlikAH patrARi akzipan
										
maDyamapuruzaH	tvaM patraM kzipyasi	tvaM patraM kzipya	tvaM patram akzipyaH	tvaM patraM kzipyeH	tvaM patraM kzepsyasi	tvaM patraM kzeptAsi	tvaM patraM kzipyAH	tvaM patram akzepsyaH	tvaM patraM cikzepiTa	tvaM patram akzipaH
	yuvAM patre kzipyaTaH	yuvAM patre kzipyatam	yuvAM patre akzipyatam	yuvAM patre kzipyetam	yuvAM patre kzepsyaTaH	yuvAM patre kzeptAsTaH	yuvAM patre kzipyAstam	yuvAM patre akzepsyatam	yuvAM patre cikzipaTuH	yuvAM patre akzipatam
	yUyaM patrARi kzipyaTa	yUyaM patrARi kzipyata	yUyaM patrARi akzipyata	yUyaM patrARi kzipyeta	yUyaM patrARi kzepsyaTa	yUyaM patrARi kzeptAsTa	yUyaM patrARi kzipyAsta	yUyaM patrARi akzepsyata	yUyaM patrARi cikzipa	yUyaM patrARi akzipata
										
uttamapuruzaH	ahaM patraM kzipyAmi	ahaM patraM kzipyAmi	ahaM patram akzipyam	ahaM patraM kzipyeyam	ahaM patraM kzepsyAmi	ahaM patraM kzeptAsmi	ahaM patraM kzipyAsam	ahaM patram akzepsyam	ahaM patraM cikzepa	ahaM patram akzipam
	AvAM patre kzipyAvaH	AvAM patre kzipyAvaH	AvAM patre akzipyAva	AvAM patre kzipyeva	AvAM patre kzepsyAvaH	AvAM patre kzeptAsvaH	AvAM patre kzipyAsva	AvAM patre akzepsyAva	AvAM patre cikzipiva	AvAM patre akzipAva
	vayaM patrARi kzipyAmaH	vayaM patrARi kzipyAmaH	vayaM patrARi akzipyAma	vayaM patrARi kzipyema	vayaM patrARi kzepsyAmaH	vayaM patrARi kzeptAsmaH	vayaM patrARi kzipyAsma	vayaM patrARi akzepsyAma	vayaM patrARi cikzipima	vayaM patrARi akzipAma
										
svAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA Palam Apnoti	bAlakaH-bAlikA Palam Apnotu	bAlakaH-bAlikA Palam Apnot	bAlakaH-bAlikA Palam ApnuyAt	bAlakaH-bAlikA Palam Apsyati	bAlakaH-bAlikA Palam AptA	bAlakaH-bAlikA Palam ApyAt	bAlakaH-bAlikA Palam Apsyat	bAlakaH-bAlikA Palam Apa	bAlakaH-bAlikA Palam Apat 
	bAlakO-bAlike Pale ApnutaH	bAlakO-bAlike Pale ApnutaH	bAlakO-bAlike Pale ApnutAm	bAlakO-bAlike Pale ApnuyAtAm	bAlakO-bAlike Pale ApsyataH	bAlakO-bAlike Pale AptArO	bAlakO-bAlike Pale ApyAstAm	bAlakO-bAlike Pale ApsyatAm	bAlakO-bAlike Pale ApatuH	bAlakO-bAlike Pale ApatAm
	bAlakAH-bAlikAH PalAni Apnuvanti	bAlakAH-bAlikAH PalAni Apnuvantu	bAlakAH-bAlikAH PalAni Apnuvan	bAlakAH-bAlikAH PalAni ApnuyuH	bAlakAH-bAlikAH PalAni Apsyanti	bAlakAH-bAlikAH PalAni AptAraH	bAlakAH-bAlikAH PalAni ApyAsuH	bAlakAH-bAlikAH PalAni Apsyan	bAlakAH-bAlikAH PalAni ApuH	bAlakAH-bAlikAH PalAni Apan
										
maDyamapuruzaH	tvaM Palam Apnozi	tvaM Palam Apnuhi	tvaM Palam ApnoH	tvaM Palam ApnuyAH	tvaM Palam Apsyasi	tvaM Palam AptAsi	tvaM Palam ApyAH	tvaM Palam ApsyaH	tvaM Palam ApiTa	tvaM Palam ApaH
	yuvAM Pale ApnuTaH	yuvAM Pale Apnutam	yuvAM Pale Apnutam	yuvAM Pale ApnuyAtam	yuvAM Pale ApsyaTaH	yuvAM Pale AptAsTaH	yuvAM Pale ApyAstam	yuvAM Pale Apsyatam	yuvAM Pale ApaTuH	yuvAM Pale Apatam
	yUyaM PalAni ApnuTa	yUyaM PalAni Apnuta	yUyaM PalAni Apnuta	yUyaM PalAni ApnuyAta	yUyaM PalAni ApsyaTa	yUyaM PalAni AptAsTa	yUyaM PalAni ApyAsta	yUyaM PalAni Apsyata	yUyaM PalAni Apa	yUyaM PalAni Apata
										
uttamapuruzaH	ahaM Palam Apnomi	ahaM Palam Apnomi	ahaM Palam Apnavam	ahaM Palam ApnuyAm	ahaM Palam ApsyAmi	ahaM Palam AptAsmi	ahaM Palam ApyAsam	ahaM Palam Apsyam	ahaM Palam Apa	ahaM Palam Apam
	AvAM Pale ApnumaH	AvAM Pale ApnuvaH	AvAM Pale Apnuva	AvAM Pale ApnuyAva	AvAM Pale ApsyAvaH	AvAM Pale AptAsvaH	AvAM Pale ApyAsva	AvAM Pale ApsyAva	AvAM Pale Apiva	AvAM Pale ApAva
	vayaM PalAni ApnumaH	vayaM PalAni ApnumaH	vayaM PalAni Apnuma	vayaM PalAni ApnuyAma	vayaM PalAni ApsyAmaH	vayaM PalAni AptAsmaH	vayaM PalAni ApyAsma	vayaM PalAni ApsyAma	vayaM PalAni Apima	vayaM PalAni ApAma
										
tudAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA pustakaM liKati 	bAlakaH-bAlikA pustakaM liKatu	bAlakaH-bAlikA pustakam aliKat 	bAlakaH-bAlikA pustakaM liKet	bAlakaH-bAlikA pustakaM leKizyati	bAlakaH-bAlikA pustakaM leKitA	bAlakaH-bAlikA pustakaM liKyAt	bAlakaH-bAlikA pustakam aleKizyat	bAlakaH-bAlikA pustakaM lileKa	bAlakaH-bAlikA pustakam aleKIt 
	bAlakO-bAlike pustake liKataH 	bAlakO-bAlike pustake liKatAm	bAlakO-bAlike pustake aliKatAm 	bAlakO-bAlike pustake liKetAm	bAlakO-bAlike pustake leKizyataH	bAlakO-bAlike pustake leKitArO	bAlakO-bAlike pustake liKyAstAm	bAlakO-bAlike pustake aleKizyatAm	bAlakO-bAlike pustake lileKatuH	bAlakO-bAlike pustake aleKizwAm 
	bAlakAH-bAlikAH pustakAni liKanti  	bAlakAH-bAlikAH pustakAni liKantu  	bAlakAH-bAlikAH pustakAni aliKan  	bAlakAH-bAlikAH pustakAni liKeyuH	bAlakAH-bAlikAH pustakAni leKizyanti	bAlakAH-bAlikAH pustakAni leKitAraH	bAlakAH-bAlikAH pustakAni liKyAsuH 	bAlakAH-bAlikAH pustakAni aleKizyan	bAlakAH-bAlikAH pustakAni liliKuH 	bAlakAH-bAlikAH pustakAni aleKizuH 
										
maDyamapuruzaH	tvaM pustakaM liKasi	tvaM pustakaM liKa	tvaM pustakam aliKaH	tvaM pustakaM liKeH	tvaM pustakaM leKizyasi	tvaM pustakaM leKitAsi	tvaM pustakaM liKyAH	tvaM pustakam aleKizyaH	tvaM pustakaM lileKiTa	tvaM pustakam aleKIH
	yuvAM pustake liKaTaH	yuvAM pustake liKatam	yuvAM pustake aliKatam	yuvAM pustake liKetam	yuvAM pustake leKizyaTaH	yuvAM pustake leKitAsTaH	yuvAM pustake liKyAstam	yuvAM pustake aleKizyAtam	yuvAM pustake lileKaTuH	yuvAM pustake aleKizwam
	yUyaM pustake liKaTa	yUyaM pustake liKata	yUyaM pustake aliKata  	yUyaM pustake liKeta	yUyaM pustake leKizyaTa	yUyaM pustake leKitAsTa	yUyaM pustake liKyAsta	yUyaM pustake aleKizyata	yUyaM pustake liliza	yUyaM pustake aleKizwa
										
uttamapuruzaH	ahaM pustakaM liKAmi	ahaM pustakaM liKAni	ahaM pustakam aliKam	ahaM pustakaM liKeyam	ahaM pustakaM leKizyAmi	ahaM pustakaM leKitAsmi	ahaM pustakaM liKyAsam	ahaM pustakam aleKizyam 	ahaM pustakaM lileKa	ahaM pustakam aleKizam
	AvAM pustake liKAvaH	AvAM pustake liKAva 	AvAM pustake aliKAva 	AvAM pustake liKeva	AvAM pustake leKizyAvaH	AvAM pustake leKitAsvaH	AvAM pustake liKyAsva	AvAM pustake aleKizyAva	AvAM pustake liliKiva	AvAM pustake aleKizva
	vayaM pustakAni liKAmaH	vayaM pustakAni liKAma 	vayaM pustakAni aliKAma	vayaM pustakAni liKema	vayaM pustakAni leKizyAmaH	vayaM pustakAni leKitAsmaH	vayaM pustakAni liKyAsma	vayaM pustakAni aleKizyAma	vayaM pustakAni liliKima	vayaM pustakAni aleKizma
										
ruDAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA yunakti	bAlakaH-bAlikA yunaktu	bAlakaH-bAlikA ayunak	bAlakaH-bAlikA yuYjyAt	bAlakaH-bAlikA yokzyati	bAlakaH-bAlikA yoktA	bAlakaH-bAlikA yujyAt	bAlakaH-bAlikA ayokzyat	bAlakaH-bAlikA yuyoja	bAlakaH-bAlikA ayOkzIt
	bAlakO-bAlike yuNktaH	bAlakO-bAlike yuNktAm	bAlakO-bAlike ayuNktAm	bAlakO-bAlike yuYjyAtAm	bAlakO-bAlike yokzyataH	bAlakO-bAlike yoktArO	bAlakO-bAlike yujyAstAm	bAlakO-bAlike ayokzyatAm	bAlakO-bAlike yuyujatuH	bAlakO-bAlike ayOktAm
	bAlakAH-bAlikAH yuYjanti	bAlakAH-bAlikAH yuYjantu	bAlakAH-bAlikAH ayuYjan	bAlakAH-bAlikAH yuYjyuH	bAlakAH-bAlikAH yokzyanti	bAlakAH-bAlikAH yoktAraH	bAlakAH-bAlikAH yujyAsuH	bAlakAH-bAlikAH ayokzyan	bAlakAH-bAlikAH yuyujuH	bAlakAH-bAlikAH ayOkzuH
										
maDyamapuruzaH	tvaM yunakzi	tvaM yuNgDi	tvam ayunak	tvaM yuYjyAH	tvaM yokzyasi	tvaM yoktAsi	tvaM yujyAH	tvam ayokzyaH	tvaM yuyojiTa	tvam ayOkzIH
	yuvAM yuNkTaH	yuvAM yuNktam	yuvAm ayuNktam	yuvAM yuYjyAtam	yuvAM yokzyaTaH	yuvAM yoktAsTaH	yuvAM yujyAstam	yuvAm ayokzyatam	yuvAM yuyujaTuH	yuvAm ayOktam
	yUyaM yuNkTa	yUyaM yuNkta	yUyam ayuNkta	yUyaM yuYjyAta	yUyaM yokzyaTa	yUyaM yoktAsTa	yUyaM yujyAsta	yUyam ayokzyata	yUyaM yuyuja	yUyam ayOkta
										
uttamapuruzaH	ahaM yunajmi	ahaM yunajAni	aham ayunajam	ahaM yuYjyAm	ahaM yokzyAmi	ahaM yoktAsmi	ahaM yujyAsam	aham ayokzyam	ahaM yuyoja	aham ayOkzam
	AvAM yuYjvaH	AvAM yunajAva	AvAm ayuYjva	AvAM yuYjyAva	AvAM yokzyAvaH	AvAM yoktAsvaH	AvAM yujyAsva	AvAm ayokzyAva	AvAM yuyujiva	AvAm ayOkzva
	vayaM yuYjmaH	vayaM yunajAma	vayam ayuYjma	vayaM yuYjyAma	vayaM yokzyAmaH	vayaM yoktAsmaH	vayaM yujyAsma	vayam ayokzyAma	vayaM yuyujima	vayam ayOkzma
										
tanAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA kAryaM karoti	bAlakaH-bAlikA kAryaM karotu	bAlakaH-bAlikA kAryam akarot	bAlakaH-bAlikA kAryaM kuryAt	bAlakaH-bAlikA kAryaM karizyati	bAlakaH-bAlikA kAryaM kartA	bAlakaH-bAlikA kAryaM kriyAt	bAlakaH-bAlikA kAryam akarizyat	bAlakaH-bAlikA kAryaM cakAra	bAlakaH-bAlikA kAryam akArzIt
	bAlakO-bAlike kArye kurutaH	bAlakO-bAlike kArye kurutaH	bAlakO-bAlike kArye akurutAm	bAlakO-bAlike kArye kuryAtAm	bAlakO-bAlike kArye karizyataH	bAlakO-bAlike kArye kartArO	bAlakO-bAlike kArye kriyAstAm	bAlakO-bAlike kArye akarizyatAm	bAlakO-bAlike kArye cakratuH	bAlakO-bAlike kArye akArzwAm
	bAlakAH-bAlikAH kAryARi kurvanti	bAlakAH-bAlikAH kAryARi kurvantu	bAlakAH-bAlikAH kAryARi akurvan	bAlakAH-bAlikAH kAryARi kuryuH	bAlakAH-bAlikAH kAryARi karizyanti	bAlakAH-bAlikAH kAryARi kartAraH	bAlakAH-bAlikAH kAryARi kriyAsuH	bAlakAH-bAlikAH kAryARi akarizyan	bAlakAH-bAlikAH kAryARi cakruH	bAlakAH-bAlikAHakArzuH
										
maDyamapuruzaH	tvaM kAryaM karozi	tvaM kAryaM kuru	tvaM kAryam akaroH	tvaM kAryaM kuryAH	tvaM kAryaM karizyasi	tvaM kAryaM kartAsi	tvaM kAryaM kriyAH	tvaM kAryam akarizyaH	tvaM kAryaM cakarTa	tvaM kAryam akArzIH
	yuvAM kArye kuruTaH	yuvAM kArye kurutam	yuvAM kArye akurutam	yuvAM kArye kuryAtam	yuvAM kArye karizyaTaH	yuvAM kArye kartAsTaH	yuvAM kArye kriyAstam	yuvAM kArye akarizyatam	yuvAM kArye cakraTuH	yuvAM kArye akArzwam
	yUyaM kAryARi kuruTa	yUyaM kAryARi kuruta	yUyaM kAryARi akuruta	yUyaM kAryARi kuryAta	yUyaM kAryARi karizyaTa	yUyaM kAryARi kartAsTa	yUyaM kAryARi kriyAsta	yUyaM kAryARi akarizyata	yUyaM kAryARi cakra	yUyaM kAryARi akArzwa
										
uttamapuruzaH	ahaM kAryaM karomi	ahaM kAryaM karavARi	ahaM kAryam akaravam	ahaM kAryaM kuryAm	ahaM kAryaM karizyAmi	ahaM kAryaM kartAsmi	ahaM kAryaM kriyAsam	ahaM kAryam akarizyam	ahaM kAryaM cakAra, cakara	ahaM kAryam akArzam
	AvAM kArye kurvaH	AvAM kArye karavAva	AvAM kArye akurva	AvAM kArye kuryAva	AvAM kArye karizyAvaH	AvAM kArye kartAsvaH	AvAM kArye kriyAsva	AvAM kArye akarizyAva	AvAM kArye cakfva	AvAM kArye akArzva
	vayaM kAryARi kurmaH	vayaM kAryARi karavAma	vayaM kAryARi akurma	vayaM kAryARi kuryAma	vayaM kAryARi karizyAmaH	vayaM kAryARi kartAsmaH	vayaM kAryARi kriyAsma	vayaM kAryARi akarizyAma	vayaM kAryARi cakfma	vayaM kAryARi akArzma
										
kryAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA citraM krIRAti	bAlakaH-bAlikA citraM krIRAtu	bAlakaH-bAlikA citram akrIRAt	bAlakaH-bAlikA citraM krIRIyAt	bAlakaH-bAlikA citraM krezyati	bAlakaH-bAlikA citraM kretA	bAlakaH-bAlikA citraM krIyAt	bAlakaH-bAlikA citram akrezyat	bAlakaH-bAlikA citraM cikrAya	bAlakaH-bAlikA citram akrEzIt
	bAlakO-bAlike citre krIRItaH	bAlakO-bAlike citre krIRItAm	bAlakO-bAlike citre akrIRItAm	bAlakO-bAlike citre krIRIyAtAm	bAlakO-bAlike citre krezyataH	bAlakO-bAlike citre kretArO	bAlakO-bAlike citre krIyAstAm	bAlakO-bAlike citre akrezyatAm	bAlakO-bAlike citre cikriyatuH	bAlakO-bAlike citre akrEzwAm
	bAlakAH-bAlikAH citrARi krIRanti	bAlakAH-bAlikAH citrARi krIRantu	bAlakAH-bAlikAH citrARi akrIRan	bAlakAH-bAlikAH citrARi krIRIyuH	bAlakAH-bAlikAH citrARi krezyanti	bAlakAH-bAlikAH citrARi kretAraH	bAlakAH-bAlikAH citrARi krIyAsuH	bAlakAH-bAlikAH citrARi akrezyan	bAlakAH-bAlikAH citrARi cikriyuH	bAlakAH-bAlikAH citrARi akrEzuH
										
maDyamapuruzaH	tvaM citraM krIRAsi	tvaM citraM krIRIhi	tvaM citram akrIRaH	tvaM citraM krIRIyAH	tvaM citraM krezyasi	tvaM citraM kretAsi	tvaM citraM krIyAH	tvaM citram akrezyaH	tvaM citraM cikrayiTa, cikreTa	tvaM citram akrEzIH
	yuvAM citre krIRITaH	yuvAM citre krIRItam	yuvAM citre akrIRItam	yuvAM citre krIRIyAtam	yuvAM citre krezyaTaH	yuvAM citre kretAsTaH	yuvAM citre krIyAstam	yuvAM citre akrezyatam	yuvAM citre cikriyaTuH	yuvAM citre akrEzwam
	yUyaM citrARi krIRITa	yUyaM citrARi krIRIta	yUyaM citrARi akrIRIta	yUyaM citrARi krIRIyAta	yUyaM citrARi krezyaTa	yUyaM citrARi kretAsTa	yUyaM citrARi krIyAsta	yUyaM citrARi akrezyata	yUyaM citrARi cikriya	yUyaM citrARi akrEzwa
										
uttamapuruzaH	ahaM citraM krIRAmi	ahaM citraM krIRAni	ahaM citram akrIRAm	ahaM citraM krIRIyAm	ahaM citraM krezyAmi	ahaM citraM kretAsmi	ahaM citraM krIyAsam	ahaM citram akrezyam	ahaM citraM cikrAya	ahaM citram akrEzam
