	lawlakAraH	lowlakAraH	laNlakAraH	viDiliNlakAraH	lfwlakAraH	luwlakAraH	ASIrliNlakAraH	lfNlakAraH	liwlakAraH	luNlakAraH
BvAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA granTaM paWati	bAlakaH-bAlikA granTaM paWatu	bAlakaH-bAlikA granTam apaWat	bAlakaH-bAlikA granTaM paWet	bAlakaH-bAlikA granTaM paWizyati	bAlakaH-bAlikA granTaM paWitA	bAlakaH-bAlikA granTaM paWyAt	bAlakaH-bAlikA granTam apaWizyat	bAlakaH-bAlikA granTaM papAWa	bAlakaH-bAlikA granTam apAWIt
	bAlakO-bAlike granTO paWataH	bAlakO-bAlike granTO paWatAm	bAlakO-bAlike granTO apaWatAm	bAlakO-bAlike granTO paWetAm	bAlakO-bAlike granTO paWizyataH	bAlakO-bAlike granTO paWitArO	bAlakO-bAlike granTO paWyAstAm	bAlakO-bAlike granTO apaWizyatAm	bAlakO-bAlike granTO peWatuH	bAlakO-bAlike granTO apAWizwAm
	bAlakAH-bAlikAH granTAn paWanti	bAlakAH-bAlikAH granTAn paWantu	bAlakAH-bAlikAH granTAn apaWan	bAlakAH-bAlikAH granTAn paWeyuH	bAlakAH-bAlikAH granTAn paWizyanti	bAlakAH-bAlikAH granTAn paWitAraH	bAlakAH-bAlikAH granTAn paWyAsuH	bAlakAH-bAlikAH granTAn apaWizyan	bAlakAH-bAlikAH granTAn peWuH	bAlakAH-bAlikAH granTAn apAWizuH
										
maDyamapuruzaH	tvaM granTaM paWasi	tvaM granTaM paWa	tvaM granTam apaWaH	tvaM granTaM paWeH	tvaM granTaM paWizyasi	tvaM granTaM paWitAsi	tvaM granTaM paWyAH	tvaM granTam apaWizyaH	tvaM granTaM peWita	tvaM granTam apAWIH
	yuvAM granTO paWaTaH	yuvAM granTO paWatam	yuvAM granTO apaWatam	yuvAM granTO paWetam	yuvAM granTO paWizyaTaH	yuvAM granTO paWatAsTaH	yuvAM granTO paWyAstam	yuvAM granTO apaWizyatam	yuvAM granTO peWatuH	yuvAM granTO apAWizwam
	yUyaM granTAn paWaTa	yUyaM granTAn paWata	yUyaM granTAn apaWata	yUyaM granTAn paWeta	yUyaM granTAn paWizyaTa	yUyaM granTAn paWitAsTa	yUyaM granTAn paWyAsta	yUyaM granTAn apaWizyata	yUyaM granTAn peWa	yUyaM granTAn apAWizwa
										
uttamapuruzaH	ahaM granTaM paWAmi	ahaM granTaM paWAni	ahaM granTam apaWam	ahaM granTaM paWeyam	ahaM granTaM paWizyAmi	ahaM granTaM paWitAsmi	ahaM granTaM paWyAsam	ahaM granTam apaWizyam	ahaM granTaM papAWa	ahaM granTam apAWizam
	AvAM granTO paWAvaH	AvAM granTO paWAva	AvAM granTO apaWAva	AvAM granTO paWeva	AvAM granTO paWizyAvaH	AvAM granTO paWitAsvaH	AvAM granTO paWyAsva	AvAM granTO apaWizyAva	AvAM granTO peWiva	AvAM granTO apAWizva
	vayaM granTAn paWAmaH	vayaM granTAn paWAma	vayaM granTAn apaWAma	vayaM granTAn paWema	vayaM granTAn paWizyAmaH	vayaM granTAn paWitAsmaH	vayaM granTAn paWyAsma	vayaM granTAn apaWizyAma	vayaM granTAn peWima	vayaM granTAn apAWizma
										
adAdigaRaH										
praTamapuruzaH	bAlakaH-bAlikA grAmaM yAti	bAlakaH-bAlikA grAmaM yAtu	bAlakaH-bAlikA grAmam AyAt	bAlakaH-bAlikA grAmaM yAyAt	bAlakaH-bAlikA grAmaM yAsyati	bAlakaH-bAlikA grAmaM yAtA	bAlakaH-bAlikA grAmaM yAyAt	bAlakaH-bAlikA grAmam ayAsyat	bAlakaH-bAlikA grAmaM yayO	bAlakaH-bAlikA grAmam ayAsIt
	bAlakO-bAlike grAme yAtaH	bAlakO-bAlike grAme yAtAm	bAlakO-bAlike grAme AyAtam	bAlakO-bAlike grAme yAyAtam	bAlakO-bAlike grAme yAsyataH	bAlakO-bAlike grAme yAtArO	bAlakO-bAlike grAme yAyAstam	bAlakO-bAlike grAme ayAsyatAm	bAlakO-bAlike grAme yayatuH	bAlakO-bAlike grAme ayAsizwAm
