प्रातिपदिक	नामपद	लिङ्गम्	विभक्ति	वचनम्	रूपम्
तद्	सर्वनाम	पुं	प्रथमा	एक	सः
तद्	सर्वनाम	पुं	प्रथमा	द्वि	तौ
तद्	सर्वनाम	पुं	प्रथमा	बहु	ते
तद्	सर्वनाम	पुं	द्वितीया	एक	तम्
तद्	सर्वनाम	पुं	द्वितीया	द्वि	तौ
तद्	सर्वनाम	पुं	द्वितीया	बहु	तान्
तद्	सर्वनाम	पुं	तृतीया	एक	तेन
तद्	सर्वनाम	पुं	तृतीया	द्वि	ताभ्याम्
तद्	सर्वनाम	पुं	तृतीया	बहु	तैः
तद्	सर्वनाम	पुं	चतुर्थी	एक	तस्मै
तद्	सर्वनाम	पुं	चतुर्थी	द्वि	ताभ्याम्
तद्	सर्वनाम	पुं	चतुर्थी	बहु	तेभ्यः
तद्	सर्वनाम	पुं	पञ्चमी	एक	तस्मात्
तद्	सर्वनाम	पुं	पञ्चमी	द्वि	ताभ्याम्
तद्	सर्वनाम	पुं	पञ्चमी	बहु	तेभ्यः
तद्	सर्वनाम	पुं	षष्ठी	एक	तस्य
तद्	सर्वनाम	पुं	षष्ठी	द्वि	तयोः
तद्	सर्वनाम	पुं	षष्ठी	बहु	तेषाम्
तद्	सर्वनाम	पुं	सप्तमी	एक	तस्मिन्
तद्	सर्वनाम	पुं	सप्तमी	द्वि	तयोः
तद्	सर्वनाम	पुं	सप्तमी	बहु	तेषु
तद्	सर्वनाम	पुं	सम्बोधन	एक	
तद्	सर्वनाम	पुं	सम्बोधन	द्वि	
तद्	सर्वनाम	पुं	सम्बोधन	बहु	
एतद्	सर्वनाम	पुं	प्रथमा	एक	एषः
एतद्	सर्वनाम	पुं	प्रथमा	द्वि	एतौ
एतद्	सर्वनाम	पुं	प्रथमा	बहु	एते
एतद्	सर्वनाम	पुं	द्वितीया	एक	एतम्
एतद्	सर्वनाम	पुं	द्वितीया	द्वि	एतौ
एतद्	सर्वनाम	पुं	द्वितीया	बहु	एतान्
एतद्	सर्वनाम	पुं	तृतीया	एक	एतेन
एतद्	सर्वनाम	पुं	तृतीया	द्वि	एताभ्याम्
एतद्	सर्वनाम	पुं	तृतीया	बहु	एतैः
एतद्	सर्वनाम	पुं	चतुर्थी	एक	एतस्मै
एतद्	सर्वनाम	पुं	चतुर्थी	द्वि	एताभ्याम्
एतद्	सर्वनाम	पुं	चतुर्थी	बहु	एतेभ्यः
एतद्	सर्वनाम	पुं	पञ्चमी	एक	एतस्मात्
एतद्	सर्वनाम	पुं	पञ्चमी	द्वि	एताभ्याम्
एतद्	सर्वनाम	पुं	पञ्चमी	बहु	एतेभ्यः
एतद्	सर्वनाम	पुं	षष्ठी	एक	एतस्य
