prAtipadika	nAmapada	liNgam	viBakti	vacanam	rUpam
hari	nAma	puM	zazWI	dvi	haryyOH
hari	nAma	puM	zazWI	bahu	harIRAm
hari	nAma	puM	saptamI	eka	harO
hari	nAma	puM	saptamI	dvi	haryyOH
hari	nAma	puM	saptamI	bahu	harizu
hari	nAma	puM	samboDana	eka	hare
hari	nAma	puM	samboDana	dvi	he harI
hari	nAma	puM	samboDana	bahu	harayaH
guru	nAma	puM	praTamA	eka	guruH
guru	nAma	puM	praTamA	dvi	gurU
guru	nAma	puM	praTamA	bahu	guravaH
guru	nAma	puM	dvitIyA	eka	gurum
guru	nAma	puM	dvitIyA	dvi	gurU
guru	nAma	puM	dvitIyA	bahu	gurUn
guru	nAma	puM	tftIyA	eka	guruRA
guru	nAma	puM	tftIyA	dvi	guruByAm
guru	nAma	puM	tftIyA	bahu	guruBiH
guru	nAma	puM	caturTI	eka	gurave
guru	nAma	puM	caturTI	dvi	guruByAm
guru	nAma	puM	caturTI	bahu	guruByaH
guru	nAma	puM	paYcamI	eka	guroH
guru	nAma	puM	paYcamI	dvi	guruByAm
guru	nAma	puM	paYcamI	bahu	guruByaH
guru	nAma	puM	zazWI	eka	guroH
guru	nAma	puM	zazWI	dvi	gurvoH
guru	nAma	puM	zazWI	bahu	gurURAm
guru	nAma	puM	saptamI	eka	gurO
guru	nAma	puM	saptamI	dvi	gurvoH
guru	nAma	puM	saptamI	bahu	guruzu
guru	nAma	puM	samboDana	eka	guro
guru	nAma	puM	samboDana	dvi	he gurU
guru	nAma	puM	samboDana	bahu	guravaH
pitf	nAma	puM	praTamA	eka	pitA
pitf	nAma	puM	praTamA	dvi	pitarO
pitf	nAma	puM	praTamA	bahu	pitaraH
pitf	nAma	puM	dvitIyA	eka	pitaram
pitf	nAma	puM	dvitIyA	dvi	pitarO
pitf	nAma	puM	dvitIyA	bahu	pitFn
pitf	nAma	puM	tftIyA	eka	pitrA
pitf	nAma	puM	tftIyA	dvi	pitfByAm
pitf	nAma	puM	tftIyA	bahu	pitfBiH
pitf	nAma	puM	caturTI	eka	pitre
pitf	nAma	puM	caturTI	dvi	pitarAByAm
pitf	nAma	puM	caturTI	bahu	pitfByaH
pitf	nAma	puM	paYcamI	eka	pituH
pitf	nAma	puM	paYcamI	dvi	pitfByAm
pitf	nAma	puM	paYcamI	bahu	pitfByaH
pitf	nAma	puM	zazWI	eka	pituH
pitf	nAma	puM	zazWI	dvi	pitroH
pitf	nAma	puM	zazWI	bahu	pitFRAm
pitf	nAma	puM	saptamI	eka	pitari
pitf	nAma	puM	saptamI	dvi	pitroH
pitf	nAma	puM	saptamI	bahu	pitfzu
pitf	nAma	puM	samboDana	eka	pitaH
pitf	nAma	puM	samboDana	dvi	pitarO
pitf	nAma	puM	samboDana	bahu	pitaraH
rE	nAma	puM	praTamA	eka	rAH
rE	nAma	puM	praTamA	dvi	rAyO
rE	nAma	puM	praTamA	bahu	rAyaH
rE	nAma	puM	dvitIyA	eka	rAyam
rE	nAma	puM	dvitIyA	dvi	rAyO
rE	nAma	puM	dvitIyA	bahu	rAyaH
rE	nAma	puM	tftIyA	eka	rAyA
rE	nAma	puM	tftIyA	dvi	rAByAm
rE	nAma	puM	tftIyA	bahu	rABiH
rE	nAma	puM	caturTI	eka	rAyE
rE	nAma	puM	caturTI	dvi	rAByAm
rE	nAma	puM	caturTI	bahu	rAByaH
rE	nAma	puM	paYcamI	eka	rAyaH
rE	nAma	puM	paYcamI	dvi	rAByAm
rE	nAma	puM	paYcamI	bahu	rAByaH
rE	nAma	puM	zazWI	eka	rAyaH
rE	nAma	puM	zazWI	dvi	rAyoH
rE	nAma	puM	zazWI	bahu	rAyAm
rE	nAma	puM	saptamI	eka	rAyi
rE	nAma	puM	saptamI	dvi	rAyoH
rE	nAma	puM	saptamI	bahu	rAsu
rE	nAma	puM	samboDana	eka	rAH
rE	nAma	puM	samboDana	dvi	rAyO
rE	nAma	puM	samboDana	bahu	rAyaH
go	nAma	puM	praTamA	eka	gOH
go	nAma	puM	praTamA	dvi	gAvO
go	nAma	puM	praTamA	bahu	gAvaH
go	nAma	puM	dvitIyA	eka	gAm
go	nAma	puM	dvitIyA	dvi	gAvO
go	nAma	puM	dvitIyA	bahu	gAH
go	nAma	puM	tftIyA	eka	gavA
go	nAma	puM	tftIyA	dvi	goByAm
go	nAma	puM	tftIyA	bahu	goBiH
go	nAma	puM	caturTI	eka	gave
go	nAma	puM	caturTI	dvi	goByAm
go	nAma	puM	caturTI	bahu	goByaH
go	nAma	puM	paYcamI	eka	goH
go	nAma	puM	paYcamI	dvi	goByAm
go	nAma	puM	paYcamI	bahu	goByaH
go	nAma	puM	zazWI	eka	goH
go	nAma	puM	zazWI	dvi	gavoH
go	nAma	puM	zazWI	bahu	gavAm
go	nAma	puM	saptamI	eka	gavi
go	nAma	puM	saptamI	dvi	gavoH
go	nAma	puM	saptamI	bahu	gozu
go	nAma	puM	samboDana	eka	gOH
go	nAma	puM	samboDana	dvi	gAvO
go	nAma	puM	samboDana	bahu	gAvaH
glO	nAma	puM	praTamA	eka	glOH
glO	nAma	puM	praTamA	dvi	glAvO
glO	nAma	puM	praTamA	bahu	glAvaH
glO	nAma	puM	dvitIyA	eka	glAvam
glO	nAma	puM	dvitIyA	dvi	glAvO
glO	nAma	puM	dvitIyA	bahu	glAvaH
glO	nAma	puM	tftIyA	eka	glAvA
glO	nAma	puM	tftIyA	dvi	glOByAm
glO	nAma	puM	tftIyA	bahu	glOBiH
glO	nAma	puM	caturTI	eka	glAve
glO	nAma	puM	caturTI	dvi	glOByAm
glO	nAma	puM	caturTI	bahu	glOByaH
glO	nAma	puM	paYcamI	eka	glAvaH
glO	nAma	puM	paYcamI	dvi	glOByAm
glO	nAma	puM	paYcamI	bahu	glOByaH
glO	nAma	puM	zazWI	eka	glAvaH
glO	nAma	puM	zazWI	dvi	glAvoH
glO	nAma	puM	zazWI	bahu	glAvAm
glO	nAma	puM	saptamI	eka	glAvi
glO	nAma	puM	saptamI	dvi	glAvoH
glO	nAma	puM	saptamI	bahu	glOzu
glO	nAma	puM	samboDana	eka	glOH
glO	nAma	puM	samboDana	dvi	glAvO
glO	nAma	puM	samboDana	bahu	glAvaH
payomuc	nAma	puM	praTamA	eka	payomuk
payomuc	nAma	puM	praTamA	dvi	payomucO
payomuc	nAma	puM	praTamA	bahu	payomucaH
payomuc	nAma	puM	dvitIyA	eka	payomucam
payomuc	nAma	puM	dvitIyA	dvi	payomucO
payomuc	nAma	puM	dvitIyA	bahu	payomucaH
payomuc	nAma	puM	tftIyA	eka	payomucA
payomuc	nAma	puM	tftIyA	dvi	payomugByAm
